SampleID,StationID,Station_D,SampleDateTime,Latitude,Longitude,Depth,Temperature,Salinity,Sigma-T,Conductivity,Beam Attenuation,Chla Fluor,Dissolved Oxygen (Model 43),DO % Saturation,Air Irradiance,Water Irradiance,pH <2>,TA in (mmol/kgSW),TCO2 in (mmol/kgSW),t(oC) out,P (dbars) out,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW) ,Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm),Field Replicate,Data Source,VINDTA Sample Name,Sampled Bottle Name,Sampling Date,Sampling Depth,Salinity - Carolina,Salinity - Ries ,Run T,Sampling T,Pressure,Comments
BH,H2,Inner Harbor,10/20/17 11:24,42.3676987,-71.0477727,0.79,15.27,30.59,,,,1.53,8.12,96.3,,,7.97,2123.07595,2030.627988,15.27000046,10.78999996,7.897834235,775.9987192,778.8014237,1917.590363,83.48663475,29.55103714,37.1765991,1.348668256,0,0,15.60024506,2.043931006,1.300702355,792.1292198,Y,ToRies_Labprocessed2017sharedSeaGlass,,,,,,,,,,
BH,H2,Inner Harbor,10/20/17 11:24,42.3676987,-71.0477727,0.79,15.27,30.59,,,,1.53,8.12,96.3,,,7.97,2122.090468,2034.768922,15.27000046,10.78999996,7.882196095,806.8333275,809.7473986,1923.271174,80.7724951,30.725259,35.98690046,1.300969139,0,0,15.81117139,1.977483075,1.25841669,823.6047798,Y,ToRies_Labprocessed2017sharedSeaGlass,,,,,,,,,,
BH,H2,Inner Harbor,10/20/17 11:24,42.3676987,-71.0477727,11.46,14.77,31.61,,,,2.31,7.42,87.7,,,8,2130.064525,2040.155627,14.77000046,21.45999908,7.882502349,796.9453759,799.8420949,1927.673682,81.84370361,30.63831248,37.44584345,1.270844056,0,0,15.64200097,1.986511238,1.266543117,813.0815914,N,ToRies_Labprocessed2017sharedSeaGlass,,,,,,,,,,
BH,H4,Inner Harbor,10/20/17 11:40,42.3684072,-71.0456438,2.01,15.18,30.86,,,,1.83,7.94,94.2,,,7.98,2123.666115,2042.989024,15.18000031,12.01000023,7.85904574,852.789987,855.8735657,1933.174107,77.29992729,32.51497908,34.67581891,1.230317991,0,0,16.0590318,1.888745995,1.202669394,870.4321916,N,ToRies_Labprocessed2017sharedSeaGlass,,,,,,,,,,
BH,H4,Inner Harbor,10/20/17 11:40,42.3684072,-71.0456438,13.47,14.71,31.6,,,,2.67,7.33,86.5,,,8.01,2128.872275,2030.957064,14.71000004,23.46999931,7.907547455,747.1551437,749.8729618,1916.19479,85.98380613,28.77842875,39.3837735,1.338758729,0,0,15.31347686,2.086299683,1.329992656,762.2366414,N,ToRies_Labprocessed2017sharedSeaGlass,,,,,,,,,,
BH,M2,Mystic,10/20/17 11:41,42.3737104,-71.0463438,1.09,15.22,30.97,,,,2.15,7.54,89.5,,,7.99,2129.289563,2045.64284,15.22000027,11.09000015,7.866019387,839.7382607,842.7731031,1934.720623,78.96329515,31.95889968,35.39857229,1.257647798,0,0,15.93704654,1.928455623,1.228430109,857.1455652,N,ToRies_Labprocessed2017sharedSeaGlass,,,,,,,,,,
BH,M2,Mystic,10/20/17 11:50,42.3737104,-71.0463438,13.77,14.72,31.58,,,,2.43,7.18,84.8,,,8.01,2125.166363,2031.924808,14.72000027,23.77000046,7.893938341,772.142181,774.9505332,1918.759617,83.43017356,29.73511097,38.26124881,1.298157408,0,0,15.49878117,2.024504142,1.290563038,787.7362128,N,ToRies_Labprocessed2017sharedSeaGlass,,,,,,,,,,
BH,C2,Charles,10/23/17 11:51,42.3699199,-71.0564037,1.19,15.29,29.27,,,,3.92,7.29,85.8,,,7.93,2026.9172,1964.085187,15.28999996,11.18999958,7.825690522,898.9962116,902.2423262,1863.372685,66.24527281,34.46731142,29.95661482,1.112557125,0,0,16.73726024,1.634865046,1.036128178,917.7140879,N,ToRies_Labprocessed2017sharedSeaGlass,,,,,,,,,,
BH,C2,Charles,10/23/17 12:02,42.3699199,-71.0564037,9.34,14.51,31.58,,,,1.58,6.92,81.3,,,7.94,2142.542638,2066.152015,14.51000023,19.34000015,7.843702753,882.1032543,885.3201395,1956.782061,75.18140238,34.18870684,34.2788238,1.133659419,0,0,16.23540488,1.825386743,1.163055573,899.7267448,Y,ToRies_Labprocessed2017sharedSeaGlass,,,,,,,,,,
BH,C2,Charles,10/23/17 12:02,42.3699199,-71.0564037,9.34,14.51,31.58,,,,1.58,6.92,81.3,,,7.94,2143.069156,2071.692072,14.51000023,19.34000015,7.838707512,900.7015272,903.9862372,1963.778428,72.8333619,35.08035279,32.53812458,1.100669194,0,0,16.54584223,1.777814702,1.130032269,918.7036686,Y,ToRies_Labprocessed2017sharedSeaGlass,,,,,,,,,,
