SampleID,StationID,Station_D,SampleDateTime,Latitude,Longitude,Depth,Temperature,Salinity,Sigma-T,Conductivity,Beam Attenuation,Chla Fluor,Dissolved Oxygen (Model 43),DO % Saturation,Air Irradiance,Water Irradiance,pH <2>,TA in (mmol/kgSW),TCO2 in (mmol/kgSW),t(oC) out,P (dbars) out,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW) ,Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm),Field Replicate,Data Source
WN17307D,N18,N18-d,2017-04-24 11:43:42,42.3661575317383,-70.77783203125,25.7309188842773,4.57812833786011,31.9543552398682,25.306453704834,30.474365234375,1.11739432811737,3.86686944961548,10.520040512085,100.742683410645,1784.5048828125,4.4392237663269,8.23844718933105,2177.536376953125,2050.5830078125,4.578128337860107,35.730918884277344,8.124069340767464,395.19954146722233,396.8397231484039,1931.6902974411219,97.59535016177016,21.297370387100962,49.83552296338377,0.8276093331362203,0,0,14.74268682179156,2.350603906783205,1.4749226765724086,400.1235427694632,N,ToRies_Labprocessed2017sharedSeaGlass
WN17307F,N18,N18-m,2017-04-24 11:45:45,42.3661575317383,-70.77783203125,14.5295467376709,5.6256742477417,31.6596641540527,24.9583168029785,31.0854759216309,0.994604885578156,2.87566041946411,11.1854248046875,109.653625488281,1608.15075683594,50.4277229309082,8.2229471206665,2153.885498046875,2031.8736572265625,5.625674247741699,24.5295467376709,8.101599978345865,420.8266475363513,422.54908163743266,1915.0332192188664,94.96233582055397,21.87812374912241,48.06712504628202,0.8685839435219916,0,0,14.859877309108622,2.2952332627752954,1.4407811257005758,426.3134322372953,N,ToRies_Labprocessed2017sharedSeaGlass
WN173081,N18,N18-s,2017-04-24 11:47:48,42.3661575317383,-70.77783203125,1.64079976081848,7.66456460952759,31.0624389648438,24.2299880981445,32.2390785217285,0.935382544994354,0.570050418376923,11.6295652389526,119.15119934082,1582.13000488281,1078.1611328125,8.31097888946533,2121.82568359375,1923.0369873046875,7.664564609527588,11.640799522399902,8.28011837330186,267.289919644618,268.35492088552087,1769.1009509293772,140.9533010648761,12.982742418288229,69.23657504792686,1.586912619065365,0,0,11.729254722911469,3.4257850603775615,2.1528020933017755,271.110398772598,N,ToRies_Labprocessed2017sharedSeaGlass
WN17309D,F22,F22-d,2017-04-24 13:21:15,42.480339050293,-70.6181640625,76.6051940917969,4.20551776885986,32.6200256347656,25.8733825683594,30.7544822692871,1.65341687202454,0.649470031261444,10.3977928161621,99.1020050048828,1733.05200195313,0.527693808078766,8.20570468902588,2215.341552734375,2073.373046875,4.205517768859863,86.60519409179688,8.155306148570567,364.80910940909627,366.33068904672683,1947.1058152462463,106.41750415387916,19.849627651995434,54.53718220762436,0.8707700643698473,0,0,14.175417178371992,2.5287633102956755,1.5895582824265426,369.2821935414073,N,ToRies_Labprocessed2017sharedSeaGlass
WN1730A0,F22,F22-m,2017-04-24 13:25:56,42.4806594848633,-70.6181640625,15.7682971954346,7.10795307159424,31.3100166320801,24.4995517730713,32.0093650817871,1.05760884284973,5.07868194580078,11.7251901626587,118.777481079102,1655.0009765625,32.1885223388672,8.25052928924561,2136.28955078125,1962.1500244140625,7.107953071594238,25.76829719543457,8.224273982536713,309.3122246369042,310.5537081705999,1821.0464824397573,125.8093730071426,15.294125962411407,62.30214663947807,1.3283027500880082,0,0,12.609209978823356,3.0453577572440618,1.9137975008832617,313.6217316669468,N,ToRies_Labprocessed2017sharedSeaGlass
WN1730A1,F22,F22-s,2017-04-24 13:27:19,42.4806594848633,-70.6183242797852,1.68141067028046,7.35493612289429,30.5387859344482,23.860424041748,31.4929256439209,1.01798164844513,1.36000609397888,11.8243932723999,119.87336730957,1658.80651855469,1192.41589355469,8.30788707733154,2083.5517578125,1906.69384765625,7.354936122894287,11.681410789489746,8.246365103058157,288.1371527058371,289.28989647160324,1765.7921926289202,126.71246429739165,14.189139700911602,62.931734737585806,1.408749757057669,0,0,12.360780899925642,3.0878505227079933,1.9366393090759424,292.19834056240154,N,ToRies_Labprocessed2017sharedSeaGlass
WN1730AB,N04,N04-d,2017-04-24 14:15:28,42.4445037841797,-70.7368240356445,47.196159362793,4.05926465988159,32.3659515380859,25.6858406066895,30.402307510376,1.08046531677246,1.76760220527649,10.4962139129639,99.5126037597656,1570.79663085938,0.617346942424774,8.20731067657471,2189.825439453125,2065.662841796875,4.059264659881592,57.19615936279297,8.116068149879464,400.4790387328704,402.15265154167804,1947.8901036985062,95.83256852628055,21.940088062736596,49.5001666116453,0.7778978788233939,0,0,14.904825027038203,2.2937871336881805,1.4402330851159528,405.35983856301925,N,ToRies_Labprocessed2017sharedSeaGlass
WN1730AE,N04,N04-m,2017-04-24 14:19:10,42.4446601867676,-70.737174987793,12.2348403930664,7.10472774505615,31.0883026123047,24.3255348205566,31.8003635406494,1.15403580665588,6.55005025863647,11.9873752593994,121.24983215332,1309.80261230469,44.5016670227051,8.28219795227051,2122.19482421875,1947.7420654296875,7.104727745056152,22.234840393066406,8.23036328130575,303.22434765311226,304.44144797449496,1806.9561868369476,125.77167854249386,15.014206554602891,62.36090854758471,1.3402719265285175,0,0,12.56093835229542,3.050010023863467,1.91546483614159,307.4487817672944,N,ToRies_Labprocessed2017sharedSeaGlass
WN1730AF,N04,N04-s,2017-04-24 14:20:00,42.4448280334473,-70.7373199462891,1.62049424648285,7.66843223571777,30.8937072753906,24.0769901275635,32.2036628723145,0.937324643135071,0.964091598987579,11.789945602417,121.071395874023,1373.173828125,934.0078125,8.30600166320801,2116.758544921875,1917.662841796875,7.668432235717773,11.62049388885498,8.284046908386756,264.40561286044266,265.45906827344845,1763.660113145452,141.1491307018709,12.853553648399865,69.20901814975092,1.5965064879275772,0,0,11.710436152141517,3.433570413004138,2.156683343916163,268.1857914630674,N,ToRies_Labprocessed2017sharedSeaGlass
WN1730C7,F23,F23-d,2017-04-24 15:50:36,42.338996887207,-70.9414596557617,25.2609100341797,8.49578380584717,30.5800590515137,23.7346019744873,32.484489440918,2.28609704971313,1.8189754486084,10.695538520813,111.346252441406,2228.3203125,0.659356713294983,8.3073616027832,2074.9033203125,1895.46435546875,8.495783805847168,35.26091003417969,8.235321148901896,297.4818509269471,298.6543124852879,1752.7963250867342,128.58482514631038,14.08322445075271,63.40143584885456,1.5418505176967314,0,0,12.207373376866057,3.1196181758335295,1.9607566230334181,301.9021445134881,N,ToRies_Labprocessed2017sharedSeaGlass
