EVENT_ID,STAT_ID,SAMPLE_ID,PROF_DATE_TIME_LOCAL,LATITUDE,LONGITUDE,DEPTH (m),SAMPLE_DEPTH_CODE,CONDTVY (mS/cm),DO_RAW (mg/L),FLU_RAW (ug/L),PCT_SAT_RAW (PCT),pH (),SAL (PSU),SIGMA_T (),TEMP (C),TRANS (m-1),VAL_QUAL,Data Source
WN171,F06,WN171048,2017-02-18 09:08:53-0500,42.1713256,-70.5750656,1.5,A,31.2541389465332,10.1833896636963,0.850935339927673,98.2588958740234,8.21098232269287,32.789421081543,25.9599304199219,4.66189432144165,0.839955449104309,,MassBay_2017_to_2022
WN171,F06,WN171047,2017-02-18 09:07:59-0500,42.1712112,-70.5752334,7.02,B,31.2252540588379,10.1756038665771,1.50536143779755,98.1011657714844,8.20750141143799,32.7864418029785,25.9612007141113,4.62816762924194,0.846165001392365,,MassBay_2017_to_2022
WN171,F06,WN171046,2017-02-18 09:07:14-0500,42.1711006,-70.5754089,15.12,C,31.2156066894531,10.1735744476318,1.49159467220306,98.046989440918,8.20296382904053,32.7850532531738,25.9616603851318,4.6140718460083,0.871817946434021,,MassBay_2017_to_2022
WN171,F06,WN171045,2017-02-18 09:06:27-0500,42.1710205,-70.5755691,23.08,D,31.1862735748291,10.1707372665405,1.43249833583832,97.9348297119141,8.19609642028809,32.7809295654297,25.9620933532715,4.57969856262207,0.88446569442749,,MassBay_2017_to_2022
WN171,F06,WN171044,2017-02-18 09:05:43-0500,42.1709518,-70.5757293,30.57,E,31.1954288482666,10.1658515930176,1.42880463600159,97.9039459228516,8.18953418731689,32.7810592651367,25.9615421295166,4.58643627166748,0.864847540855408,,MassBay_2017_to_2022
WN171,F10,WN171056,2017-02-18 09:41:43-0500,42.2435111,-70.6367645,1.64,A,31.0774688720703,10.1962108612061,0.651343405246735,97.9238052368164,8.22181797027588,32.7678108215332,25.9624137878418,4.47625970840454,0.99732369184494,,MassBay_2017_to_2022
WN171,F10,WN171055,2017-02-18 09:40:58-0500,42.243412,-70.6368713,8.17,B,31.082275390625,10.1735172271729,1.62926232814789,97.7061920166016,8.21978187561035,32.770694732666,25.9648170471191,4.47561883926392,0.983271896839142,,MassBay_2017_to_2022
WN171,F10,WN171054,2017-02-18 09:40:16-0500,42.2433395,-70.6369552,15.07,C,31.087890625,10.1531734466553,1.56580102443695,97.5173492431641,8.21492958068848,32.7710800170898,25.9648952484131,4.47825193405151,1.0281628370285,,MassBay_2017_to_2022
WN171,F10,WN171053,2017-02-18 09:39:30-0500,42.2432289,-70.6370468,21.96,D,31.0966758728027,10.15123462677,1.48890841007233,97.5124130249023,8.21272850036621,32.7724380493164,25.9654636383057,4.48363208770752,1.02510809898376,,MassBay_2017_to_2022
WN171,F10,WN171052,2017-02-18 09:38:42-0500,42.2431449,-70.6371612,27.67,E,31.1069889068604,10.1517381668091,1.44727218151093,97.5398712158203,8.20954036712646,32.7719955444336,25.9641456604004,4.49324131011963,1.03473675251007,,MassBay_2017_to_2022
WN171,F13,WN171034,2017-02-18 08:17:36-0500,42.2694244,-70.732788,1.61,A,29.9462280273438,10.4208297729492,1.22364616394043,97.2587738037109,8.03964900970459,32.5175971984863,25.8698387145996,3.38613843917847,1.3876770734787,,MassBay_2017_to_2022
WN171,F13,WN171033,2017-02-18 08:17:04-0500,42.2693557,-70.7329025,5.63,B,29.9851951599121,10.4047136306763,1.81494641304016,97.206169128418,8.0273551940918,32.5232849121094,25.8708686828613,3.42493367195129,1.39901185035706,,MassBay_2017_to_2022
WN171,F13,WN171032,2017-02-18 08:16:21-0500,42.2692832,-70.7330398,11.0,C,30.1516075134277,10.3458347320557,1.67324924468994,97.0785598754883,8.0007495880127,32.5517349243164,25.8781318664551,3.59234428405762,1.3413690328598,,MassBay_2017_to_2022
WN171,F13,WN171031,2017-02-18 08:15:42-0500,42.2692337,-70.7331695,16.75,D,30.2515811920166,10.313702583313,1.51711356639862,97.0243606567383,7.97272109985352,32.5700492858887,25.8835754394531,3.69011640548706,1.30240166187286,,MassBay_2017_to_2022
WN171,F13,WN171030,2017-02-18 08:14:41-0500,42.2691574,-70.7333908,22.79,E,30.356761932373,10.2848997116089,1.47581338882446,97.0147552490234,7.92212533950806,32.5880661010742,25.8880653381348,3.79403829574585,1.25838363170624,,MassBay_2017_to_2022
WN171,F15,WN171064,2017-02-18 10:12:48-0500,42.316082,-70.7281875,1.57,A,31.1535453796387,10.2038497924805,0.652757227420807,98.29541015625,8.23776912689209,32.7204246520996,25.9103507995605,4.61349010467529,0.879623532295227,,MassBay_2017_to_2022
WN171,F15,WN171063,2017-02-18 10:12:03-0500,42.3160362,-70.7282333,9.68,B,31.1861019134521,10.1757411956787,1.61918926239014,98.0741271972656,8.23773574829102,32.7384757995605,25.9230537414551,4.62929105758667,0.85813570022583,,MassBay_2017_to_2022
WN171,F15,WN171062,2017-02-18 10:11:20-0500,42.3159637,-70.7282562,17.97,C,31.3367156982422,10.135329246521,1.41973865032196,98.0116119384766,8.23307228088379,32.7859878540039,25.9474754333496,4.75361347198486,0.843895614147186,,MassBay_2017_to_2022
WN171,F15,WN171061,2017-02-18 10:10:28-0500,42.3159217,-70.7282257,25.95,D,31.3700523376465,10.121205329895,1.39690613746643,97.9432525634766,8.2310209274292,32.7944564819336,25.9514122009277,4.77997064590454,0.831912994384766,,MassBay_2017_to_2022
