DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV,Timestamp,TIME_BIN,lat,lon,ele
03/19/19,13:32:50,3.10,8.18,26.05,51240.0,11.00,101.9,1.83,-53.8,8.64,32.64,32790,-0.2,2019-03-19 13:32:50,2019-03-19-13-32,42.398909786716104,-70.421953909099102,11.67
03/19/19,13:32:55,3.10,8.18,22.57,51200.0,11.04,102.2,1.85,-53.8,8.33,32.61,32770,-0.3,2019-03-19 13:32:55,2019-03-19-13-32,42.398909786716104,-70.421953909099102,11.67
03/19/19,13:33:00,3.10,8.18,17.22,51230.0,11.07,102.5,1.84,-53.8,8.53,32.63,32790,-0.2,2019-03-19 13:33:00,2019-03-19-13-33,42.39802272990346,-70.419356441125274,10.23
03/19/19,13:33:05,3.11,8.18,11.94,51210.0,11.08,102.5,1.31,-53.8,8.73,32.62,32770,-0.3,2019-03-19 13:33:05,2019-03-19-13-33,42.39802272990346,-70.419356441125274,10.23
03/19/19,13:33:10,3.12,8.18,6.73,51210.0,11.08,102.6,0.77,-53.8,8.54,32.62,32770,-0.2,2019-03-19 13:33:10,2019-03-19-13-33,42.39802272990346,-70.419356441125274,10.23
03/19/19,13:33:15,3.19,8.18,2.33,51180.0,11.04,102.4,0.67,-53.7,8.74,32.61,32750,-0.2,2019-03-19 13:33:15,2019-03-19-13-33,42.39802272990346,-70.419356441125274,10.23
03/19/19,13:49:50,3.32,8.54,0.30,50820.0,9.40,87.4,0.57,-73.8,8.66,32.38,32530,-0.2,2019-03-19 13:49:50,2019-03-19-13-49,42.390672136098146,-70.411660680547357,8.789999999999999
03/19/19,13:49:55,3.30,8.43,0.40,51030.0,9.46,87.9,0.60,-67.5,8.51,32.53,32660,-0.2,2019-03-19 13:49:55,2019-03-19-13-49,42.390672136098146,-70.411660680547357,8.789999999999999
03/19/19,13:50:00,3.25,8.36,4.07,51020.0,9.71,90.2,0.67,-64.1,8.71,32.51,32650,-0.2,2019-03-19 13:50:00,2019-03-19-13-50,42.390967011451721,-70.412213131785393,8.789999999999999
03/19/19,13:50:05,3.16,8.32,10.42,51010.0,9.88,91.6,1.00,-61.9,8.78,32.49,32640,-0.2,2019-03-19 13:50:05,2019-03-19-13-50,42.390967011451721,-70.412213131785393,8.789999999999999
