20190319_SBNMS
Eureka_Manta_2,V7.03,08162383
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
Eureka_Manta_2,V7.03,08162383
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
03/19/19,07:14:50,7.69,6.59,0.4,0.12,-0.06,11.56,96.4,33.1,9.04,0.00,0.2,-0.2
03/19/19,07:14:55,7.70,6.26,0.4,0.13,-0.07,11.55,96.4,51.0,9.01,0.00,0.2,-0.3
03/19/19,07:15:00,7.71,6.23,0.4,0.12,-0.06,11.55,96.4,52.7,8.93,0.00,0.2,-0.2
Eureka_Manta_2,V7.03,08162383
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
03/19/19,07:43:10,1.34,5.14,0.4,0.13,-0.01,14.46,102.2,109.0,9.03,0.00,0.2,-0.2
03/19/19,07:43:15,3.36,6.58,50700,0.55,0.86,11.30,105.0,33.5,9.06,32.30,32450,-0.2
03/19/19,07:43:20,3.41,7.47,50490,0.18,0.92,11.53,107.2,-15.0,9.11,32.16,32310,-0.2
03/19/19,07:43:25,3.41,7.76,50520,2.31,0.97,11.43,106.3,-30.7,8.99,32.18,32330,-0.2
03/19/19,07:43:30,3.40,7.88,50570,7.39,1.79,11.37,105.8,-37.3,9.04,32.22,32360,-0.2
03/19/19,07:43:35,3.25,7.93,50660,12.22,1.27,11.36,105.3,-40.1,8.99,32.26,32420,-0.3
03/19/19,07:43:40,3.15,7.96,50890,17.93,0.99,11.36,105.1,-41.5,8.86,32.40,32570,-0.3
03/19/19,07:43:45,3.18,7.97,50980,23.67,0.81,11.28,104.5,-42.5,8.89,32.47,32620,-0.3
03/19/19,07:43:50,3.19,7.98,50980,28.88,0.82,11.22,104.0,-43.2,8.94,32.47,32630,-0.2
03/19/19,07:43:55,3.19,8.00,50970,34.14,1.27,11.19,103.7,-43.8,8.93,32.46,32620,-0.2
03/19/19,07:44:00,3.19,8.00,51020,34.16,0.79,11.08,102.7,-44.2,9.01,32.50,32650,-0.2
03/19/19,07:44:05,3.19,8.01,50980,33.74,0.89,10.98,101.8,-44.6,9.03,32.47,32630,-0.3
03/19/19,07:44:10,3.19,8.02,51030,32.67,0.88,10.94,101.4,-45.0,9.03,32.51,32660,-0.2
03/19/19,07:44:15,3.19,8.02,50960,29.01,0.90,10.87,100.7,-45.3,9.03,32.46,32610,-0.2
03/19/19,07:44:20,3.18,8.03,50940,24.45,0.87,10.80,100.1,-45.5,8.96,32.44,32600,-0.3
03/19/19,07:44:25,3.17,8.03,50940,20.43,0.96,10.78,99.8,-45.8,9.01,32.44,32600,-0.3
03/19/19,07:44:30,3.15,8.04,50890,16.70,1.07,10.75,99.5,-46.2,8.94,32.40,32570,-0.2
03/19/19,07:44:35,3.36,8.05,50630,12.09,1.51,10.67,99.2,-46.9,9.03,32.26,32400,-0.2
03/19/19,07:44:40,3.40,8.06,50540,8.04,1.45,10.65,99.1,-47.6,9.06,32.19,32340,-0.2
03/19/19,07:44:45,3.41,8.07,50470,4.25,1.13,10.66,99.1,-48.0,8.93,32.15,32300,-0.2
03/19/19,07:44:50,3.41,8.08,50530,1.04,0.93,10.69,99.5,-48.2,9.04,32.19,32340,-0.2
03/19/19,07:44:55,3.29,8.08,6080,0.17,0.43,13.07,99.6,-48.4,9.03,3.27,3891,-0.3
03/19/19,07:45:00,2.39,8.06,118.1,0.17,-0.04,13.74,100.0,-46.9,8.99,0.05,75.6,-0.2
03/19/19,07:45:05,1.81,7.78,77.6,0.16,-0.03,14.00,100.3,-31.7,9.04,0.03,49.6,-0.2
03/19/19,07:45:10,2.46,7.65,62.8,0.17,-0.03,13.78,100.4,-24.7,9.04,0.02,40.2,-0.2
03/19/19,07:45:15,3.00,7.55,54.4,0.17,-0.01,13.63,100.8,-19.1,9.09,0.02,34.8,-0.3
03/19/19,07:45:20,3.45,7.46,49.4,0.17,-0.03,13.52,101.2,-14.1,9.09,0.02,31.6,-0.2
03/19/19,07:45:25,3.83,7.42,47.1,0.17,-0.01,13.43,101.5,-12.3,9.06,0.02,30.1,-0.2
03/19/19,07:45:30,4.21,7.37,44.9,0.17,-0.02,13.36,102.0,-9.4,9.11,0.02,28.7,-0.3
03/19/19,07:45:35,4.57,7.34,43.3,0.17,-0.02,13.33,102.7,-7.6,9.08,0.01,27.7,-0.2
03/19/19,07:45:40,4.90,7.30,42.9,0.17,-0.01,13.25,103.0,-5.4,9.03,0.01,27.4,-0.2
03/19/19,07:45:45,5.20,7.26,41.5,0.17,-0.02,13.21,103.5,-3.3,9.06,0.01,26.5,-0.3
03/19/19,07:45:50,5.44,7.25,41.1,0.16,-0.01,13.15,103.7,-2.4,9.06,0.01,26.3,-0.3
03/19/19,07:45:55,5.46,7.23,62.0,0.15,-0.03,13.15,103.7,-1.8,9.08,0.02,39.6,-0.3
03/19/19,07:46:00,5.15,7.17,51.9,0.15,-0.02,13.25,103.7,1.5,9.08,0.02,33.2,-0.3
03/19/19,07:46:05,5.37,7.14,46.4,0.15,-0.02,13.16,103.6,3.3,9.01,0.02,29.7,-0.2
03/19/19,07:46:10,5.61,7.15,38.8,0.15,-0.00,13.06,103.5,2.9,9.06,0.01,24.8,-0.2
03/19/19,07:46:15,5.82,7.11,35.5,0.14,-0.01,12.97,103.3,4.7,9.04,0.01,22.7,-0.2
03/19/19,07:46:20,6.01,7.10,34.5,0.15,-0.03,12.88,103.0,5.5,9.08,0.01,22.1,-0.2
03/19/19,07:46:25,6.16,7.07,33.6,0.14,0.00,12.82,103.0,7.4,9.06,0.01,21.5,-0.2
03/19/19,07:46:30,6.32,7.06,32.0,0.15,-0.03,12.76,102.9,8.0,9.06,0.01,20.5,-0.3
03/19/19,07:46:35,6.48,7.03,30.9,0.15,-0.02,12.72,103.0,9.7,9.03,0.01,19.8,-0.2
03/19/19,07:46:40,6.64,7.01,30.6,0.13,-0.02,12.67,103.0,10.6,9.04,0.01,19.5,-0.2
03/19/19,07:46:45,6.78,7.01,29.7,0.15,-0.02,12.63,103.0,10.5,9.04,0.01,19.0,-0.2
03/19/19,07:46:50,6.90,6.98,29.2,0.14,-0.00,12.61,103.1,12.0,9.03,0.01,18.7,-0.2
03/19/19,07:46:55,7.01,6.97,28.6,0.14,-0.02,12.57,103.1,12.9,8.96,0.01,18.3,-0.2
03/19/19,07:47:00,7.20,6.96,28.0,0.14,-0.03,12.51,103.1,13.2,9.06,0.01,17.9,-0.2
03/19/19,07:47:05,7.29,6.95,27.5,0.15,0.00,12.48,103.1,14.0,9.06,0.01,17.6,-0.2
03/19/19,07:47:10,7.38,6.92,26.9,0.14,-0.00,12.45,103.1,15.3,8.94,0.01,17.2,-0.3
03/19/19,07:47:15,7.45,6.91,26.9,0.14,-0.01,12.42,103.0,15.7,9.01,0.01,17.2,-0.2
03/19/19,07:47:20,7.53,6.91,26.5,0.14,-0.00,12.40,103.0,15.9,9.03,0.01,17.0,-0.2
03/19/19,07:47:25,7.65,6.90,26.0,0.14,0.01,12.35,103.0,16.3,8.93,0.01,16.6,-0.3
03/19/19,07:47:30,7.74,6.89,25.9,0.13,-0.01,12.32,102.9,17.2,9.03,0.01,16.5,-0.3
03/19/19,07:47:35,7.76,6.89,25.3,0.14,-0.01,12.31,102.9,17.1,9.03,0.01,16.2,-0.2
03/19/19,07:47:40,7.79,6.88,25.1,0.13,-0.02,12.29,102.8,17.4,8.96,0.01,16.0,-0.3
03/19/19,07:47:45,7.80,6.88,25.0,0.13,-0.01,12.27,102.6,17.8,9.03,0.01,16.0,-0.2
03/19/19,07:47:50,7.78,6.87,24.5,0.15,-0.01,12.26,102.5,18.2,9.03,0.01,15.7,-0.2
03/19/19,07:47:55,7.80,6.86,24.3,0.14,0.02,12.24,102.4,18.9,9.06,0.01,15.5,-0.2
03/19/19,07:48:00,7.84,6.83,24.1,0.13,-0.00,12.21,102.3,20.1,9.06,0.01,15.4,-0.2
03/19/19,07:48:05,7.88,6.83,24.0,0.13,-0.02,12.20,102.2,20.2,8.96,0.01,15.4,-0.2
03/19/19,07:48:10,7.99,6.82,23.8,0.14,-0.02,12.16,102.2,20.8,9.04,0.01,15.2,-0.2
03/19/19,07:48:15,7.96,6.82,23.6,0.14,-0.01,12.16,102.1,20.9,9.04,0.01,15.1,-0.3
03/19/19,07:48:20,7.96,6.81,23.5,0.13,-0.00,12.16,102.2,21.6,9.01,0.01,15.0,-0.2
03/19/19,07:48:25,8.06,6.80,23.1,0.13,-0.00,12.14,102.2,21.6,9.04,0.01,14.8,-0.2
03/19/19,07:48:30,8.09,6.80,23.1,0.13,-0.00,12.14,102.3,22.1,8.99,0.01,14.8,-0.3
03/19/19,07:48:35,8.12,6.78,23.0,0.14,-0.01,12.13,102.3,23.1,9.03,0.01,14.7,-0.3
03/19/19,07:48:40,8.14,6.76,22.8,0.14,-0.02,12.12,102.2,23.9,8.91,0.01,14.6,-0.3
03/19/19,07:48:45,8.09,6.73,23.0,0.14,-0.03,12.13,102.2,25.4,9.01,0.01,14.7,-0.2
03/19/19,07:48:50,8.02,6.73,23.1,0.14,-0.02,12.15,102.2,25.9,9.01,0.01,14.7,-0.3
03/19/19,07:48:55,7.99,6.73,22.8,0.14,-0.02,12.16,102.2,25.7,8.91,0.01,14.6,-0.3
03/19/19,07:49:00,8.06,6.73,22.8,0.14,-0.01,12.13,102.2,25.8,9.01,0.01,14.5,-0.2
03/19/19,07:49:05,8.12,6.76,22.7,0.15,-0.00,12.11,102.1,23.9,9.03,0.01,14.5,-0.2
Eureka_Manta_2,V7.03,08162383
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
03/19/19,08:39:30,9.72,9.19,0.2,0.12,-0.04,11.67,102.3,-112.8,9.03,0.00,0.1,-0.2
03/19/19,08:39:35,10.20,9.25,0.2,0.12,-0.02,11.55,102.4,-116.2,9.04,0.00,0.1,-0.2
03/19/19,08:39:40,10.62,9.26,0.2,0.12,-0.04,11.45,102.5,-117.2,8.94,0.00,0.1,-0.2
03/19/19,08:39:45,10.99,9.30,0.2,0.13,-0.01,11.37,102.6,-119.2,9.01,0.00,0.1,-0.2
03/19/19,08:39:50,11.28,9.31,0.2,0.12,-0.00,11.30,102.7,-119.9,8.99,0.00,0.1,-0.2
03/19/19,08:39:55,11.55,9.34,0.2,0.12,-0.02,11.23,102.7,-122.0,8.86,0.00,0.1,-0.2
03/19/19,08:40:00,11.80,9.40,0.2,0.12,0.00,11.19,102.9,-125.3,8.99,0.00,0.1,-0.2
03/19/19,08:40:05,11.97,9.43,0.2,0.13,-0.02,11.15,103.0,-127.0,9.04,0.00,0.1,-0.2
03/19/19,08:40:10,12.14,9.47,0.2,0.13,-0.04,11.11,103.0,-129.5,9.03,0.00,0.1,-0.2
03/19/19,08:40:15,12.29,9.52,0.2,0.12,-0.02,11.08,103.0,-132.7,9.03,0.00,0.1,-0.2
03/19/19,08:40:20,12.36,9.60,0.2,0.13,-0.02,11.06,103.0,-137.4,9.03,0.00,0.1,-0.2
03/19/19,08:40:25,10.80,9.53,0.2,0.13,-0.06,11.46,103.0,-132.2,8.78,0.00,0.1,-0.2
03/19/19,08:40:30,9.05,9.63,0.2,0.14,-0.27,11.92,102.8,-136.8,8.96,0.00,0.1,-0.2
03/19/19,08:40:35,3.87,8.01,35610,0.35,0.42,10.46,91.8,-44.4,8.88,21.97,22790,-0.2
03/19/19,08:40:40,3.43,8.18,50540,0.58,0.69,9.65,89.8,-54.1,8.91,32.20,32340,-0.2
03/19/19,08:40:45,3.44,8.17,50530,2.61,0.66,9.78,91.0,-53.5,8.86,32.20,32340,-0.2
03/19/19,08:40:50,3.44,8.16,50630,7.84,1.00,10.08,93.8,-52.7,8.79,32.26,32400,-0.2
03/19/19,08:40:55,3.42,8.15,50770,13.17,1.31,10.17,94.7,-52.2,8.53,32.36,32490,-0.2
03/19/19,08:41:00,3.40,8.14,50810,18.29,2.05,10.32,96.1,-51.9,8.74,32.38,32520,-0.2
03/19/19,08:41:05,3.40,8.14,50790,23.17,1.51,10.44,97.1,-51.8,8.78,32.37,32510,-0.2
03/19/19,08:41:10,3.39,8.14,50780,28.27,1.51,10.48,97.6,-51.8,8.69,32.36,32500,-0.2
03/19/19,08:41:15,3.40,8.14,50820,29.78,1.47,10.56,98.3,-51.7,8.73,32.40,32530,-0.2
03/19/19,08:41:20,3.40,8.14,50860,29.89,1.49,10.73,99.9,-51.8,8.89,32.42,32550,-0.2
03/19/19,08:41:25,3.40,8.14,50840,29.32,1.59,10.79,100.5,-51.8,8.66,32.40,32530,-0.2
03/19/19,08:41:30,3.40,8.14,50850,24.41,1.32,10.88,101.4,-51.7,8.84,32.42,32540,-0.2
03/19/19,08:41:35,3.40,8.14,50810,20.23,1.49,10.94,101.9,-51.7,8.84,32.38,32510,-0.2
03/19/19,08:41:40,3.41,8.14,50890,15.58,1.43,10.95,102.0,-51.8,8.89,32.44,32570,-0.2
03/19/19,08:41:45,3.43,8.14,50760,11.16,1.35,10.98,102.3,-51.9,8.73,32.36,32490,-0.2
03/19/19,08:41:50,3.44,8.15,50610,6.47,1.16,10.99,102.4,-52.2,8.91,32.25,32390,-0.2
03/19/19,08:41:55,3.43,8.15,50590,3.72,0.90,11.00,102.4,-52.3,8.88,32.24,32380,-0.2
03/19/19,08:42:00,3.31,8.15,6454,0.17,1.56,13.41,102.4,-52.3,8.78,3.48,4130,-0.2
03/19/19,08:42:05,2.61,8.07,170.3,0.17,2.42,13.98,102.4,-47.8,8.64,0.07,109.0,-0.2
03/19/19,08:42:10,1.80,7.82,121.4,0.18,-0.28,14.29,102.4,-33.7,8.91,0.05,77.7,-0.2
03/19/19,08:42:15,1.48,7.72,103.7,0.15,-0.01,14.39,102.1,-28.5,8.88,0.04,66.3,-0.2
03/19/19,08:42:20,2.47,7.65,70.9,0.14,-0.05,13.99,102.0,-24.4,8.69,0.03,45.3,-0.2
03/19/19,08:42:25,2.86,7.54,54.5,0.15,-0.04,13.84,102.0,-18.7,8.83,0.02,34.8,-0.2
03/19/19,08:42:30,2.99,7.50,53.6,0.16,-0.03,13.80,102.0,-16.2,8.68,0.02,34.3,-0.2
Eureka_Manta_2,V7.03,08162383
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
03/19/19,10:06:50,12.00,6.13,0.2,0.17,0.04,11.04,102.0,58.5,9.03,0.00,0.1,-0.2
03/19/19,10:06:55,12.58,6.39,0.2,0.17,0.02,10.95,102.5,44.4,8.99,0.00,0.1,-0.2
03/19/19,10:07:00,13.07,6.57,0.2,0.17,0.03,10.86,102.8,34.4,9.06,0.00,0.1,-0.2
03/19/19,10:07:05,13.44,6.72,0.2,0.17,0.02,10.78,102.8,26.7,9.06,0.00,0.1,-0.2
03/19/19,10:07:10,13.78,6.84,0.2,0.17,0.01,10.70,102.9,19.6,8.96,0.00,0.1,-0.2
03/19/19,10:07:15,14.03,6.95,0.2,0.17,0.02,10.65,102.9,13.6,9.04,0.00,0.1,-0.2
03/19/19,10:07:20,14.25,7.06,0.2,0.17,0.02,10.60,102.9,7.8,9.03,0.00,0.1,-0.2
03/19/19,10:07:25,14.45,7.15,0.2,0.17,0.01,10.55,103.0,2.6,8.96,0.00,0.1,-0.2
03/19/19,10:07:30,14.53,7.21,0.2,0.17,0.03,10.54,103.0,-1.2,9.04,0.00,0.1,-0.2
03/19/19,10:07:35,14.12,7.36,0.2,0.16,0.03,10.64,103.0,-9.6,9.01,0.00,0.1,-0.3
03/19/19,10:07:40,11.55,6.98,0.2,0.17,-3.58,11.24,102.8,12.0,8.74,0.00,0.1,-0.2
03/19/19,10:07:45,6.29,8.14,0.3,0.32,-0.04,12.46,100.4,-52.5,8.88,0.00,0.2,-0.2
03/19/19,10:07:50,3.47,8.17,50970,0.73,0.67,9.44,88.2,-53.3,8.94,32.51,32620,-0.2
03/19/19,10:07:55,3.46,8.19,50980,0.72,0.67,9.34,87.2,-54.8,8.88,32.52,32630,-0.2
03/19/19,10:08:00,3.45,8.18,50900,4.83,0.72,9.60,89.6,-54.0,8.99,32.46,32580,-0.2
03/19/19,10:08:05,3.43,8.16,50860,10.21,0.98,9.72,90.6,-52.9,9.01,32.43,32550,-0.2
03/19/19,10:08:10,3.43,8.15,50890,15.35,1.28,9.91,92.4,-52.6,8.93,32.45,32570,-0.2
03/19/19,10:08:15,3.45,8.15,50930,20.60,1.50,10.07,93.9,-52.3,8.98,32.48,32600,-0.2
03/19/19,10:08:20,3.47,8.14,50980,25.85,1.53,10.13,94.5,-52.1,9.03,32.52,32630,-0.2
03/19/19,10:08:25,3.44,8.14,51040,31.67,1.24,10.24,95.6,-51.9,8.91,32.55,32660,-0.2
03/19/19,10:08:30,3.43,8.14,51020,33.49,1.57,10.48,97.8,-51.8,8.98,32.54,32650,-0.2
03/19/19,10:08:35,3.44,8.14,51030,32.92,1.20,10.57,98.6,-51.9,8.98,32.54,32650,-0.2
03/19/19,10:08:40,3.43,8.14,51070,32.45,1.09,10.70,99.9,-52.0,8.61,32.58,32680,-0.2
03/19/19,10:08:45,3.44,8.14,50990,29.85,1.19,10.80,100.7,-52.0,9.03,32.52,32630,-0.2
03/19/19,10:08:50,3.47,8.15,50950,24.56,1.78,10.82,101.0,-52.3,8.99,32.50,32610,-0.2
03/19/19,10:08:55,3.46,8.15,50940,19.54,1.58,10.87,101.4,-52.6,8.88,32.49,32600,-0.2
03/19/19,10:09:00,3.43,8.16,50890,14.60,1.83,10.92,101.8,-52.8,8.89,32.45,32570,-0.2
03/19/19,10:09:05,3.43,8.16,50820,9.94,1.12,10.93,101.8,-53.0,8.88,32.40,32520,-0.2
03/19/19,10:09:10,3.44,8.16,50840,5.59,0.77,10.93,101.9,-53.1,8.74,32.42,32540,-0.2
03/19/19,10:09:15,3.46,8.17,50800,1.83,0.53,10.93,102.0,-53.2,8.94,32.39,32510,-0.2
03/19/19,10:09:20,3.47,8.17,6414,0.20,0.38,13.30,101.9,-53.3,8.88,3.46,4105,-0.2
03/19/19,10:09:25,2.73,8.17,162.9,0.19,-1.01,13.88,102.0,-54.4,8.84,0.07,104.2,-0.2
03/19/19,10:09:30,1.76,7.87,56.9,0.19,1.08,14.24,101.8,-42.7,8.84,0.02,36.4,-0.2
03/19/19,10:09:35,2.69,7.66,45.3,0.18,-0.04,13.88,101.8,-26.2,8.98,0.01,29.0,-0.2
03/19/19,10:09:40,3.80,7.58,35.9,0.17,-0.01,13.48,101.8,-22.3,8.94,0.01,22.9,-0.3
03/19/19,10:09:45,4.56,7.48,38.2,0.17,0.00,13.42,103.4,-16.9,9.03,0.01,24.4,-0.2
03/19/19,10:09:50,5.17,7.42,37.1,0.18,0.03,13.25,103.7,-15.1,8.91,0.01,23.7,-0.2
03/19/19,10:09:55,5.46,7.46,31.7,0.16,-4.02,13.16,103.8,-14.3,8.89,0.01,20.2,-0.2
Eureka_Manta_2,V7.03,08162383
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
03/19/19,11:08:20,14.51,30.75,0.3,0.19,-9.80,10.45,102.1,-1354.0,8.96,0.00,0.1,-0.2
03/19/19,11:08:25,14.81,30.79,0.2,0.19,-8.60,10.41,102.4,-1357.6,9.03,0.00,0.1,-0.2
03/19/19,11:08:30,14.98,30.74,0.2,0.19,-2.98,10.38,102.5,-1355.5,9.03,0.00,0.1,-0.3
03/19/19,11:08:35,15.05,30.55,0.2,0.18,7.01,10.36,102.4,-1345.0,8.99,0.00,0.1,-0.3
03/19/19,11:08:40,15.16,30.31,0.2,0.18,7.95,10.34,102.4,-1331.7,9.08,0.00,0.1,-0.2
03/19/19,11:08:45,15.25,30.07,0.2,0.18,3.93,10.31,102.4,-1320.9,9.04,0.00,0.1,-0.2
03/19/19,11:08:50,15.33,29.77,0.2,0.18,2.81,10.29,102.4,-1303.3,8.93,0.00,0.1,-0.2
03/19/19,11:08:55,15.40,29.56,0.2,0.18,1.75,10.28,102.3,-1291.2,9.06,0.00,0.1,-0.2
03/19/19,11:09:00,15.44,29.38,0.2,0.18,0.44,10.26,102.3,-1280.3,9.06,0.00,0.1,-0.2
03/19/19,11:09:05,15.48,29.20,0.2,0.19,0.35,10.25,102.3,-1270.5,8.96,0.00,0.1,-0.2
