20190730_SBNMS
Eureka_Manta_2,V7.04,02193610
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
07/30/19,09:54:20,25.93,5.58,0.12,0.0,8.10,99.3,0.67,87.1,8.96
07/30/19,09:54:25,25.92,5.71,0.12,0.0,8.10,99.3,0.43,79.8,8.93
07/30/19,09:54:30,25.91,5.86,0.13,0.0,8.10,99.2,0.45,71.1,8.89
07/30/19,09:54:35,23.81,5.94,0.12,0.0,8.42,99.3,3.79,66.2,8.91
07/30/19,09:54:40,22.07,8.22,0.82,48040,7.20,98.6,0.43,-63.3,8.89
07/30/19,09:54:45,22.09,8.29,0.73,48170,7.10,97.3,0.52,-66.9,8.83
07/30/19,09:54:50,21.94,8.33,2.75,48290,7.27,99.3,0.52,-69.3,8.94
07/30/19,09:54:55,21.21,8.34,8.09,48550,7.42,100.2,1.08,-70.0,8.89
07/30/19,09:55:00,15.30,8.36,13.38,50720,8.19,99.8,1.34,-69.5,8.84
07/30/19,09:55:05,10.15,8.37,18.86,52050,8.88,97.8,1.86,-68.7,8.93
07/30/19,09:55:10,7.89,8.28,24.58,51360,9.27,96.6,2.06,-63.0,8.89
07/30/19,09:55:15,7.34,8.24,30.35,51450,8.55,88.0,1.36,-60.5,8.83
07/30/19,09:55:20,6.69,8.19,34.95,51530,8.68,88.0,0.67,-57.8,8.86
07/30/19,09:55:25,6.76,8.18,34.57,51370,8.67,88.0,0.97,-57.4,8.86
07/30/19,09:55:30,6.74,8.18,34.05,51480,8.71,88.4,0.89,-57.6,8.79
07/30/19,09:55:35,6.68,8.18,34.43,51480,8.75,88.7,0.72,-57.5,8.88
07/30/19,09:55:40,6.69,8.19,34.34,51460,8.77,88.9,0.72,-57.7,8.88
07/30/19,09:55:45,6.74,8.19,33.51,51370,8.79,89.2,0.96,-58.0,8.86
07/30/19,09:55:50,7.23,8.23,30.27,51170,8.79,90.1,1.61,-60.0,8.88
07/30/19,09:55:55,7.58,8.27,26.03,51100,8.76,90.5,1.85,-62.3,8.86
07/30/19,09:56:00,8.01,8.30,22.12,51020,8.73,91.1,2.31,-64.3,8.83
07/30/19,09:56:05,9.66,8.34,18.24,49760,8.59,92.5,2.38,-66.9,8.91
07/30/19,09:56:10,13.90,8.41,13.42,48250,8.17,95.7,1.26,-71.5,8.89
07/30/19,09:56:15,20.20,8.41,8.37,46760,8.99,118.3,1.29,-73.2,8.83
07/30/19,09:56:20,21.61,8.43,3.81,47920,9.43,128.0,0.77,-75.0,8.91
07/30/19,09:56:25,21.95,8.45,0.13,33450,9.88,127.0,-0.15,-76.0,8.88
07/30/19,09:56:30,21.87,8.67,0.12,64.3,11.02,125.3,-0.10,-89.0,8.79
07/30/19,09:56:35,22.03,8.77,0.12,38.5,10.81,123.2,-0.04,-94.5,8.83
07/30/19,09:56:40,22.08,8.82,0.12,31.6,10.72,122.3,0.07,-97.3,8.83
07/30/19,09:56:45,21.92,8.83,0.12,27.7,10.62,120.8,0.12,-97.7,8.76
07/30/19,09:56:50,21.90,8.83,0.11,26.1,10.51,119.5,0.19,-97.9,8.83
07/30/19,09:56:55,21.91,8.81,0.11,24.8,10.39,118.1,0.17,-96.8,8.86
07/30/19,09:57:00,21.90,8.79,0.11,24.8,10.09,114.8,0.28,-95.9,8.73
07/30/19,09:57:05,21.91,8.78,0.11,24.5,10.05,114.2,0.16,-95.0,8.84
07/30/19,09:57:10,21.96,8.78,0.10,24.5,9.98,113.6,0.02,-94.9,8.88
07/30/19,09:57:15,21.97,8.77,0.10,23.2,9.89,112.6,0.08,-94.3,8.74
07/30/19,09:57:20,21.99,8.75,0.10,22.1,9.83,112.0,0.13,-93.6,8.79
07/30/19,09:57:25,21.97,8.74,0.11,21.1,9.79,111.5,0.19,-92.9,8.84
Eureka_Manta_2,V7.04,02193610
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
07/30/19,10:25:10,22.33,8.39,0.89,48350,6.97,95.9,0.45,-73.0,8.93
07/30/19,10:25:15,21.49,8.41,5.56,48600,7.14,96.9,0.91,-74.1,8.89
07/30/19,10:25:20,16.11,8.41,10.49,49230,7.81,96.1,1.50,-72.1,8.88
07/30/19,10:25:25,12.77,8.43,15.47,50350,8.04,92.9,1.40,-72.4,8.93
07/30/19,10:25:30,10.62,8.42,20.53,50850,8.37,92.5,1.57,-71.2,8.91
07/30/19,10:25:35,7.91,8.32,25.64,51220,8.87,92.5,1.82,-65.4,8.86
07/30/19,10:25:40,7.38,8.25,30.41,51170,8.93,91.9,1.77,-61.4,8.86
07/30/19,10:25:45,7.37,8.24,31.16,51250,8.91,91.7,1.58,-60.6,8.89
07/30/19,10:25:50,7.34,8.23,31.48,51330,8.88,91.3,1.83,-60.3,8.84
07/30/19,10:25:55,7.36,8.23,31.59,51210,8.90,91.6,1.90,-60.3,8.91
07/30/19,10:26:00,7.39,8.23,28.12,51190,8.94,92.0,1.90,-60.2,8.89
07/30/19,10:26:05,8.09,8.23,23.98,50340,8.85,92.2,2.05,-60.6,8.81
07/30/19,10:26:10,10.80,8.36,18.40,50030,8.49,93.9,1.61,-68.2,8.88
07/30/19,10:26:15,12.83,8.40,13.73,49910,9.56,110.4,1.36,-71.1,8.89
07/30/19,10:26:20,15.85,8.41,9.36,48620,9.54,116.4,1.62,-72.0,8.83
07/30/19,10:26:25,20.87,8.42,5.95,47650,9.49,126.9,1.00,-74.2,8.91
07/30/19,10:26:30,21.84,8.45,2.40,48190,9.36,127.6,0.65,-75.9,8.89
07/30/19,10:26:35,22.19,8.53,0.12,17770,10.50,127.5,-2.18,-80.6,8.83
07/30/19,10:26:40,22.16,8.73,0.13,73.4,10.98,125.4,0.16,-92.4,8.83
07/30/19,10:26:45,22.16,8.91,0.12,47.1,10.82,123.7,0.06,-102.5,8.81
07/30/19,10:26:50,22.11,8.95,0.12,42.0,10.55,120.4,0.14,-105.1,8.79
07/30/19,10:26:55,22.10,8.94,0.11,36.9,10.23,116.8,0.04,-104.5,8.86
Eureka_Manta_2,V7.04,02193610
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
07/30/19,10:48:30,17.04,8.44,13.55,50070,7.88,99.2,1.44,-74.1,8.83
07/30/19,10:48:35,11.27,8.43,18.44,51540,8.15,91.8,1.09,-72.0,8.93
07/30/19,10:48:40,7.83,8.32,23.17,51720,8.67,90.4,2.19,-65.1,8.93
07/30/19,10:48:45,7.34,8.27,28.24,51310,8.55,87.9,1.64,-62.4,8.83
07/30/19,10:48:50,7.29,8.26,29.90,51260,8.61,88.5,1.69,-61.6,8.89
07/30/19,10:48:55,7.31,8.25,28.27,51210,8.64,88.8,1.63,-61.3,8.86
07/30/19,10:49:00,7.39,8.26,25.22,51180,8.71,89.6,1.75,-61.6,8.83
07/30/19,10:49:05,7.44,8.27,23.14,51240,8.75,90.2,1.77,-62.2,8.86
07/30/19,10:49:10,8.31,8.31,20.52,50760,8.63,90.6,2.48,-64.5,8.79
07/30/19,10:49:15,10.50,8.39,17.69,50470,8.34,91.9,1.53,-69.8,8.83
07/30/19,10:49:20,12.93,8.42,14.87,49550,8.23,95.1,1.10,-72.3,8.91
07/30/19,10:49:25,18.48,8.43,8.78,48080,7.62,97.7,1.58,-74.2,8.86
07/30/19,10:49:30,21.53,8.45,4.59,48150,9.41,127.6,0.93,-76.0,8.88
07/30/19,10:49:35,22.31,8.46,0.51,48270,9.29,127.9,0.48,-76.7,8.86
07/30/19,10:49:40,22.34,8.71,0.10,204.6,11.05,126.7,-0.43,-91.4,8.81
07/30/19,10:49:45,22.32,8.98,0.10,43.7,10.83,124.1,-0.28,-106.8,8.79
07/30/19,10:49:50,22.23,8.99,0.09,35.3,10.76,123.2,0.12,-107.3,8.83
07/30/19,10:49:55,22.20,9.00,0.10,29.7,10.63,121.6,-0.23,-107.7,8.79
07/30/19,10:50:00,22.20,8.97,0.11,26.5,10.52,120.3,-0.26,-105.9,8.83
07/30/19,10:50:05,22.28,8.96,0.10,24.4,10.34,118.4,-0.25,-105.4,8.89
07/30/19,10:50:10,22.34,8.97,0.10,23.4,10.12,116.1,-0.24,-105.9,8.78
Eureka_Manta_2,V7.04,02193610
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
07/30/19,11:15:10,25.23,6.33,0.18,0.4,8.20,99.2,0.27,44.6,8.91
07/30/19,11:15:15,25.19,6.38,0.17,0.4,8.21,99.3,0.50,41.7,8.84
07/30/19,11:15:20,25.12,6.31,0.18,0.3,8.22,99.3,0.22,45.3,8.71
07/30/19,11:15:25,24.92,6.36,0.18,0.3,8.25,99.3,0.24,42.6,8.89
07/30/19,11:15:30,24.88,6.31,0.17,0.3,8.25,99.2,0.11,45.3,8.83
07/30/19,11:15:35,22.77,8.32,0.85,3402,8.49,99.2,-0.20,-69.0,8.83
07/30/19,11:15:40,22.46,8.38,0.84,48400,6.77,93.4,0.50,-72.3,8.88
07/30/19,11:15:45,22.17,8.39,2.05,48630,6.93,95.3,0.47,-72.7,8.88
07/30/19,11:15:50,21.29,8.39,8.17,48650,7.10,96.1,1.29,-72.5,8.78
07/30/19,11:15:55,18.08,8.38,13.08,49430,7.50,95.9,1.47,-71.1,8.83
07/30/19,11:16:00,11.61,8.35,18.37,51870,8.38,95.1,1.25,-67.7,8.83
07/30/19,11:16:05,8.54,8.27,23.46,51930,8.78,93.1,2.57,-62.6,8.78
07/30/19,11:16:10,7.34,8.16,28.57,51440,8.90,91.7,1.76,-56.3,8.83
07/30/19,11:16:15,6.84,8.11,32.42,51470,8.96,91.1,1.07,-53.7,8.86
07/30/19,11:16:20,6.47,8.08,35.48,51670,8.90,89.9,0.36,-52.0,8.79
07/30/19,11:16:25,6.45,8.08,35.20,51620,8.73,88.1,0.36,-51.7,8.83
07/30/19,11:16:30,6.71,8.09,32.78,51310,8.62,87.4,0.88,-52.2,8.86
07/30/19,11:16:35,7.11,8.12,28.22,51110,8.55,87.4,1.61,-54.1,8.76
07/30/19,11:16:40,7.77,8.17,24.45,50990,8.50,88.2,2.37,-57.1,8.88
07/30/19,11:16:45,8.99,8.25,21.82,50520,8.32,88.6,2.65,-61.7,8.83
07/30/19,11:16:50,9.58,8.31,19.00,50780,8.38,90.5,2.78,-65.1,8.79
07/30/19,11:16:55,12.51,8.36,16.14,50030,8.17,93.7,1.15,-68.8,8.86
07/30/19,11:17:00,15.47,8.40,13.93,48990,8.13,98.6,1.27,-71.8,8.79
07/30/19,11:17:05,18.03,8.44,10.46,48920,7.98,101.8,1.65,-74.5,8.76
07/30/19,11:17:10,20.66,8.46,7.46,48030,8.14,108.7,1.42,-76.3,8.84
07/30/19,11:17:15,21.65,8.48,3.61,48180,8.47,115.1,0.92,-77.8,8.83
07/30/19,11:17:20,22.35,8.48,0.16,48200,8.56,117.8,-0.23,-78.2,8.69
07/30/19,11:17:25,22.33,8.69,0.16,68.2,10.62,121.8,-0.35,-90.2,8.83
07/30/19,11:17:30,22.41,8.82,0.16,41.2,10.73,123.2,-0.48,-97.7,8.81
07/30/19,11:17:35,22.32,8.86,0.15,32.2,10.72,122.9,-0.36,-99.6,8.73
07/30/19,11:17:40,22.29,8.85,0.15,28.5,10.57,121.1,-0.53,-99.1,8.83
07/30/19,11:17:45,22.25,8.85,0.15,25.6,10.37,118.7,0.14,-99.5,8.83
07/30/19,11:17:50,22.26,8.84,0.15,23.8,10.27,117.6,-0.29,-98.8,8.79
Eureka_Manta_2,V7.04,02193610
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
07/30/19,11:38:10,22.12,8.42,4.34,48700,6.91,94.9,0.60,-74.3,8.88
07/30/19,11:38:15,21.21,8.42,10.04,49020,7.09,96.0,1.28,-74.4,8.81
07/30/19,11:38:20,13.78,8.43,15.84,52720,7.95,94.8,1.07,-72.9,8.89
07/30/19,11:38:25,8.71,8.38,21.49,52740,8.57,91.6,2.85,-68.6,8.91
07/30/19,11:38:30,7.25,8.25,27.20,51430,8.79,90.3,1.54,-61.4,8.83
07/30/19,11:38:35,7.15,8.23,33.04,51360,8.19,83.9,1.50,-60.3,8.86
07/30/19,11:38:40,7.15,8.23,33.79,51370,8.27,84.7,1.43,-59.9,8.86
07/30/19,11:38:45,7.16,8.22,34.09,51330,8.31,85.1,1.64,-59.8,8.79
07/30/19,11:38:50,7.18,8.23,31.00,51280,8.39,86.0,1.54,-60.0,8.89
07/30/19,11:38:55,7.26,8.24,26.35,51280,8.46,86.8,1.63,-60.6,8.86
07/30/19,11:39:00,7.45,8.25,22.20,51130,8.46,87.2,2.09,-61.4,8.81
07/30/19,11:39:05,9.53,8.36,18.73,50250,8.29,89.2,1.92,-68.0,8.88
07/30/19,11:39:10,12.97,8.42,14.93,49370,8.04,92.9,1.12,-72.0,8.84
07/30/19,11:39:15,19.01,8.45,11.09,48360,7.40,96.0,1.53,-75.2,8.79
07/30/19,11:39:20,21.47,8.46,7.10,48380,9.35,126.8,1.06,-76.5,8.88
07/30/19,11:39:25,22.01,8.47,3.22,48380,9.25,126.6,0.57,-77.4,8.83
07/30/19,11:39:30,22.51,8.50,0.14,33730,9.64,125.4,-2.36,-79.1,8.81
07/30/19,11:39:35,22.46,8.71,0.14,56.0,10.77,123.8,-0.23,-91.3,8.79
07/30/19,11:39:40,22.44,8.83,0.14,43.5,10.71,123.0,1.84,-98.0,8.86
07/30/19,11:39:45,22.44,8.85,0.14,33.0,10.58,121.5,-0.09,-99.0,8.79
07/30/19,11:39:50,22.37,8.86,0.15,28.2,10.42,119.6,-0.24,-99.7,8.81
07/30/19,11:39:55,22.36,8.89,0.14,25.3,10.21,117.1,-0.21,-101.7,8.84
Eureka_Manta_2,V7.04,02193610
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
07/30/19,12:13:40,23.19,8.43,0.53,48650,6.86,96.0,0.33,-75.4,8.68
07/30/19,12:13:45,22.11,8.46,7.05,48550,7.06,96.9,0.61,-76.6,8.76
07/30/19,12:13:50,21.69,8.46,12.50,48640,7.18,97.8,0.86,-76.7,8.81
07/30/19,12:13:55,19.46,8.47,18.07,49250,7.48,98.2,1.29,-76.5,8.69
07/30/19,12:14:00,12.06,8.47,22.61,51220,8.52,97.4,1.51,-74.5,8.83
07/30/19,12:14:05,7.58,8.35,26.58,51400,9.17,95.0,1.83,-66.8,8.81
07/30/19,12:14:10,7.35,8.31,28.54,51240,9.12,93.8,1.68,-64.3,8.74
07/30/19,12:14:15,7.31,8.30,28.48,51300,8.36,85.9,1.80,-64.0,8.83
07/30/19,12:14:20,7.38,8.30,27.31,51180,8.45,86.9,1.74,-64.0,8.84
07/30/19,12:14:25,9.64,8.36,22.93,50240,8.11,87.5,2.56,-67.7,8.74
07/30/19,12:14:30,18.73,8.46,17.14,48850,7.22,93.3,1.34,-75.8,8.83
07/30/19,12:14:35,21.30,8.47,12.64,48510,7.18,97.1,0.96,-77.2,8.83
07/30/19,12:14:40,21.84,8.48,9.04,48410,8.95,122.2,0.79,-77.6,8.73
07/30/19,12:14:45,22.05,8.48,5.51,48480,8.86,121.4,0.62,-78.1,8.83
07/30/19,12:14:50,22.37,8.48,2.32,48370,8.77,120.9,0.48,-78.2,8.83
07/30/19,12:14:55,23.12,8.47,0.13,33650,9.04,118.9,2.93,-78.0,8.68
07/30/19,12:15:00,23.11,8.58,0.13,55.0,10.14,118.0,0.78,-83.9,8.69
07/30/19,12:15:05,23.12,8.73,0.14,36.8,10.10,117.6,0.68,-92.8,8.76
07/30/19,12:15:10,23.16,8.76,0.13,29.8,10.02,116.7,0.17,-94.3,8.73
07/30/19,12:15:15,23.23,8.76,0.13,26.6,9.80,114.3,0.79,-94.5,8.74
07/30/19,12:15:20,23.40,8.80,0.13,23.5,9.71,113.7,0.77,-97.0,8.74
07/30/19,12:15:25,23.50,8.78,0.13,22.1,9.66,113.2,0.70,-95.7,8.69
07/30/19,12:15:30,23.58,8.78,0.13,19.6,9.56,112.2,0.71,-95.6,8.83
07/30/19,12:15:35,23.65,8.77,0.13,21.2,9.49,111.5,0.73,-95.2,8.81
Eureka_Manta_2,V7.04,02193610
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
07/30/19,12:34:20,27.13,6.64,0.15,0.2,7.92,99.2,0.07,26.9,8.86
07/30/19,12:34:25,27.06,6.60,0.14,0.2,7.93,99.2,0.07,29.1,8.78
07/30/19,12:34:30,26.89,6.62,0.15,0.2,7.95,99.2,0.04,28.1,8.86
07/30/19,12:34:35,26.87,6.64,0.14,0.2,7.95,99.2,0.11,27.2,8.81
07/30/19,12:34:40,26.86,6.64,0.14,0.2,7.95,99.1,0.04,27.1,8.74
07/30/19,12:34:45,26.77,6.60,0.14,0.2,7.96,99.1,0.06,29.6,8.83
07/30/19,12:34:50,26.64,6.62,0.14,0.2,7.98,99.1,0.00,27.9,8.84
07/30/19,12:34:55,26.63,6.63,0.15,0.2,7.98,99.1,0.03,27.6,8.69
07/30/19,12:35:00,26.61,6.63,0.15,0.2,7.98,99.1,0.04,27.6,8.84
07/30/19,12:35:05,26.66,6.64,0.15,0.2,7.97,99.1,0.58,27.0,8.81
07/30/19,12:35:10,26.49,6.53,0.14,0.2,8.00,99.1,0.62,33.4,8.69
07/30/19,12:35:15,25.83,6.52,0.13,0.2,8.09,99.1,0.66,33.7,8.81
07/30/19,12:35:20,23.26,8.36,0.14,3299,8.00,94.3,0.17,-71.4,8.76
07/30/19,12:35:25,22.44,8.42,1.46,48830,6.80,93.9,0.34,-74.5,8.69
07/30/19,12:35:30,19.27,8.43,7.61,50290,7.08,93.0,1.07,-74.4,8.79
07/30/19,12:35:35,12.10,8.41,12.57,51650,7.78,89.2,2.81,-71.1,8.74
07/30/19,12:35:40,8.86,8.36,17.27,52460,7.97,85.3,2.23,-67.7,8.69
07/30/19,12:35:45,7.46,8.26,22.51,51200,8.18,84.3,1.64,-62.0,8.76
07/30/19,12:35:50,7.41,8.25,27.67,51210,8.17,84.1,1.62,-61.5,8.66
07/30/19,12:35:55,7.41,8.25,27.87,51260,8.19,84.4,1.95,-61.1,8.66
07/30/19,12:36:00,7.41,8.25,28.06,51240,8.26,85.1,1.85,-61.2,8.79
07/30/19,12:36:05,7.44,8.25,26.24,51220,8.29,85.5,1.74,-61.3,8.74
07/30/19,12:36:10,7.43,8.26,23.06,51210,8.38,86.3,1.86,-61.6,8.73
07/30/19,12:36:15,7.51,8.26,20.06,51210,8.52,88.0,1.92,-62.0,8.78
07/30/19,12:36:20,8.11,8.28,17.22,50680,8.60,89.8,2.20,-63.1,8.76
07/30/19,12:36:25,11.08,8.37,13.22,49420,8.19,90.9,3.16,-68.7,8.68
07/30/19,12:36:30,14.71,8.41,9.81,47420,7.93,94.2,1.80,-72.0,8.76
07/30/19,12:36:35,19.34,8.45,6.31,48360,7.67,100.1,1.08,-75.6,8.81
07/30/19,12:36:40,21.21,8.46,2.86,48290,7.66,103.4,0.61,-76.8,8.71
07/30/19,12:36:45,22.63,8.47,0.12,48360,7.95,110.0,0.36,-77.7,8.76
07/30/19,12:36:50,22.69,8.58,0.12,12530,9.63,115.9,7.46,-83.7,8.71
07/30/19,12:36:55,22.74,8.80,0.11,56.3,10.23,118.2,0.04,-96.6,8.63
07/30/19,12:37:00,22.74,8.86,0.11,61.2,10.44,120.6,-0.32,-99.9,8.71
07/30/19,12:37:05,22.70,8.89,0.11,43.3,10.31,119.1,0.11,-101.5,8.78
07/30/19,12:37:10,22.67,8.88,0.11,37.0,10.19,117.6,0.06,-100.8,8.58
Eureka_Manta_2,V7.04,02193610
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
07/30/19,13:20:40,30.09,6.59,0.07,2.1,7.52,99.3,0.65,30.1,8.83
07/30/19,13:20:45,29.37,6.60,0.07,2.1,7.61,99.2,0.78,29.3,8.79
07/30/19,13:20:50,28.83,6.55,0.07,2.1,7.64,98.7,0.87,32.0,8.86
07/30/19,13:20:55,24.31,8.37,0.48,5488,8.16,98.8,9.39,-72.2,8.83
07/30/19,13:21:00,22.68,8.44,1.89,49040,6.76,94.0,0.30,-75.8,8.79
07/30/19,13:21:05,21.60,8.44,3.48,49100,6.93,94.5,0.55,-75.6,8.84
07/30/19,13:21:10,19.60,8.44,6.16,49610,7.15,94.3,0.99,-75.3,8.86
07/30/19,13:21:15,14.11,8.44,10.11,51610,7.85,93.8,1.38,-73.6,8.79
07/30/19,13:21:20,13.15,8.43,11.91,50450,7.94,92.5,1.95,-72.9,8.88
07/30/19,13:21:25,12.31,8.43,15.34,50670,8.08,92.6,2.32,-72.3,8.84
07/30/19,13:21:30,11.39,8.43,19.51,50790,8.29,93.2,1.71,-72.3,8.79
07/30/19,13:21:35,8.42,8.38,23.99,52660,8.83,93.7,2.60,-68.8,8.81
07/30/19,13:21:40,7.29,8.29,27.64,51460,9.15,94.1,1.91,-63.2,8.84
07/30/19,13:21:45,7.13,8.27,31.35,51440,9.18,94.1,1.46,-62.1,8.74
07/30/19,13:21:50,7.05,8.25,31.67,51400,9.25,94.6,1.34,-61.4,8.86
07/30/19,13:21:55,7.05,8.26,31.46,51450,9.25,94.6,1.19,-61.5,8.83
07/30/19,13:22:00,7.05,8.26,30.91,51440,9.23,94.3,1.35,-61.6,8.71
07/30/19,13:22:05,7.08,8.26,30.83,51440,9.15,93.6,1.64,-61.9,8.81
07/30/19,13:22:10,7.13,8.27,29.66,51400,9.15,93.7,1.61,-62.3,8.83
07/30/19,13:22:15,7.30,8.29,26.45,51350,9.13,93.9,2.01,-63.2,8.76
07/30/19,13:22:20,7.74,8.30,23.38,50880,9.06,93.9,2.66,-64.3,8.83
07/30/19,13:22:25,10.26,8.43,20.69,50610,8.59,94.2,1.87,-71.9,8.79
07/30/19,13:22:30,11.50,8.47,17.72,50500,8.51,95.8,1.86,-74.3,8.74
07/30/19,13:22:35,12.18,8.47,14.34,50320,9.49,108.3,2.49,-74.7,8.81
07/30/19,13:22:40,13.09,8.48,11.43,50050,9.83,114.2,1.88,-75.6,8.79
07/30/19,13:22:45,15.62,8.49,8.30,48430,9.54,115.8,1.26,-76.5,8.76
07/30/19,13:22:50,19.65,8.50,5.14,48880,8.97,117.9,1.01,-78.2,8.83
07/30/19,13:22:55,21.97,8.49,1.80,48370,8.91,121.9,0.40,-78.8,8.79
07/30/19,13:23:00,23.04,8.49,0.35,48560,8.89,124.1,0.35,-78.7,8.74
07/30/19,13:23:05,23.04,8.49,0.05,33860,9.49,124.7,1.43,-78.6,8.79
07/30/19,13:23:10,22.99,8.73,0.04,74.1,10.84,125.9,0.22,-92.8,8.68
07/30/19,13:23:15,22.97,8.86,0.04,47.2,10.93,126.8,0.21,-99.8,8.61
07/30/19,13:23:20,22.82,8.90,0.04,39.6,10.83,125.3,0.11,-102.1,8.74
07/30/19,13:23:25,22.93,8.88,0.04,31.6,10.68,123.9,0.07,-101.4,8.74
07/30/19,13:23:30,22.96,8.87,0.04,28.9,10.42,120.9,0.08,-100.7,8.73
07/30/19,13:23:35,23.02,8.85,0.04,26.8,10.17,118.2,0.12,-99.4,8.68
07/30/19,13:23:40,23.08,8.85,0.04,24.9,10.08,117.2,0.06,-99.3,8.74
07/30/19,13:23:45,23.14,8.84,0.02,23.5,9.93,115.6,0.08,-99.0,8.73
07/30/19,13:23:50,23.24,8.84,0.03,22.5,9.82,114.5,0.20,-98.8,8.73
07/30/19,13:23:55,23.27,8.83,0.02,22.2,9.78,114.1,0.18,-98.5,8.59
07/30/19,13:24:00,23.27,8.80,0.02,21.6,9.72,113.5,0.20,-96.7,8.69
07/30/19,13:24:05,23.28,8.79,0.03,21.2,9.68,113.0,0.23,-96.4,8.63
07/30/19,13:24:10,23.29,8.80,0.02,21.3,9.66,112.8,0.26,-96.6,8.66
07/30/19,13:24:15,23.35,8.79,0.02,20.9,9.62,112.5,0.09,-95.9,8.69
07/30/19,13:24:20,23.36,8.77,0.02,20.5,9.60,112.3,0.19,-95.2,8.59
07/30/19,13:24:25,23.35,8.77,0.02,20.1,9.59,112.1,0.19,-94.8,8.76
07/30/19,13:24:30,23.35,8.76,0.02,19.7,9.57,111.9,0.23,-94.7,8.58
07/30/19,13:24:35,23.37,8.75,0.01,19.3,9.55,111.6,0.21,-94.0,8.63
Eureka_Manta_2,V7.04,02193610
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
07/30/19,13:41:10,23.22,8.41,1.17,20950,7.63,95.6,0.30,-73.0,8.74
07/30/19,13:41:15,18.65,8.44,7.01,49760,7.13,92.4,1.00,-74.7,8.81
07/30/19,13:41:20,14.36,8.44,12.29,50890,7.61,91.1,1.49,-74.3,8.76
07/30/19,13:41:25,9.44,8.36,16.90,51250,7.98,86.1,2.19,-68.9,8.81
