20190730_SBNMS
Eureka_Manta_2,V7.04,02193610
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
Eureka_Manta_2,V7.04,02193610
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
07/30/19,09:22:40,23.62,5.38,0.11,0.3,8.41,98.8,0.04,97.7,8.71
07/30/19,09:22:45,23.53,5.43,0.12,0.3,8.43,98.8,0.02,95.0,8.88
07/30/19,09:22:50,23.55,5.47,0.12,0.3,8.42,98.8,0.02,92.3,8.93
07/30/19,09:22:55,23.62,5.50,0.12,0.3,8.41,98.8,0.04,90.7,8.86
07/30/19,09:23:00,23.68,5.57,0.13,0.3,8.40,98.8,0.04,87.1,8.89
07/30/19,09:23:05,23.75,5.60,0.11,0.3,8.38,98.7,0.05,85.4,8.89
07/30/19,09:23:10,23.82,5.64,0.13,0.2,8.38,98.8,0.04,83.2,8.83
07/30/19,09:23:15,23.81,5.64,0.12,0.2,8.37,98.7,0.02,83.0,8.89
07/30/19,09:23:20,23.78,5.59,0.11,0.2,8.38,98.7,0.03,85.6,8.93
07/30/19,09:23:25,23.77,5.62,0.12,0.2,8.38,98.8,0.02,84.4,8.81
07/30/19,09:23:30,23.80,5.66,0.12,0.2,8.38,98.8,0.03,82.0,8.89
07/30/19,09:23:35,23.83,5.67,0.12,0.2,8.38,98.8,0.03,81.1,8.89
07/30/19,09:23:40,23.86,5.70,0.12,0.2,8.37,98.8,0.03,79.4,8.81
07/30/19,09:23:45,23.89,5.73,0.13,0.2,8.37,98.8,0.03,77.8,8.91
07/30/19,09:23:50,23.87,5.73,0.12,0.2,8.37,98.8,0.02,78.0,8.88
07/30/19,09:23:55,23.95,5.66,0.11,0.2,8.36,98.8,0.03,81.9,8.84
07/30/19,09:24:00,23.92,5.60,0.12,0.2,8.36,98.8,0.03,85.1,8.84
Eureka_Manta_2,V7.04,02193610
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
