20190603_SBNMS,,,,,,,,,,
Eureka_Manta_2,V7.04,2193610,,,,,,,,
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
Eureka_Manta_2,V7.04,2193610,,,,,,,,
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
Eureka_Manta_2,V7.04,2193610,,,,,,,,
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
6/3/19,14:14:35,13.06,7.51,0.03,41.1,12.04,114,-0.34,-21.9,8.79
Eureka_Manta_2,V7.04,2193610,,,,,,,,
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
6/3/19,14:48:30,12.85,8.53,0.74,47210,8.61,98.3,0.54,-78.3,8.93
6/3/19,14:48:35,12.82,8.54,1.6,47200,8.76,99.8,0.57,-78.7,8.98
6/3/19,14:48:40,9.67,8.53,8.07,49180,9.36,100.6,2.4,-77.1,8.98
6/3/19,14:48:45,6.55,8.38,14.33,50250,9.97,100.2,2.62,-68.1,8.93
6/3/19,14:48:50,6.44,8.37,20.7,50120,9.9,99.1,2.92,-67.5,8.96
6/3/19,14:48:55,6.45,8.37,27.07,50130,9.86,98.7,3.27,-67.3,8.93
6/3/19,14:49:00,6.45,8.36,27.93,50130,9.81,98.3,3.48,-67.1,8.89
6/3/19,14:49:05,6.48,8.36,27,50100,9.78,98,3.84,-67,8.99
6/3/19,14:49:10,6.46,8.36,27.12,50100,9.78,98,3.41,-67,8.98
6/3/19,14:49:15,6.44,8.36,23.29,50110,9.79,98,2.83,-67,8.89
6/3/19,14:49:20,6.45,8.36,18.12,50110,9.73,97.4,2.96,-67,8.94
6/3/19,14:49:25,6.48,8.36,12.71,50060,9.73,97.5,2.89,-67.2,8.91
6/3/19,14:49:30,8.4,8.43,7.68,48220,9.38,97.5,3.25,-71.4,8.99
6/3/19,14:49:35,12.29,8.54,2.54,46300,8.76,98.4,0.87,-78.4,8.98
6/3/19,14:49:40,12.56,8.05,0.06,17740,11.26,112.6,-1.57,-51.2,8.88
6/3/19,14:49:45,12.33,7.62,0.06,49.3,12.11,112.7,-0.98,-27.6,8.88
6/3/19,14:49:50,12.4,7.41,0.06,32.6,12.04,112.2,-0.26,-15.8,8.93
6/3/19,14:49:55,12.57,7.18,0.06,26.6,11.71,109.6,-1.11,-3.3,8.93
6/3/19,14:50:00,12.69,7.03,0.06,24.2,11.48,107.7,-1.12,4.9,8.83
Eureka_Manta_2,V7.04,2193610,,,,,,,,
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
6/4/19,6:27:20,15.03,6.34,0.1,0.1,10.02,99.1,0.26,42.5,8.94
6/4/19,6:27:25,15.04,5.96,0.1,0.1,10.03,99.1,0.26,63.5,8.86
6/4/19,6:27:30,15.05,6.55,0.1,0.1,10.03,99.2,0.19,31.3,8.88
6/4/19,6:27:35,15.06,6.15,0.11,0.1,10.03,99.2,0.24,125.9,8.93
6/4/19,6:27:40,15.07,6.23,0.1,0.1,10.03,99.3,0.28,48.8,9.26
6/4/19,6:27:45,15.08,6.64,0.1,0.1,10.04,99.4,0.28,29.4,9.28
6/4/19,6:27:50,15.09,6.64,0.1,0.1,10.04,99.4,0.29,25.9,9.29
6/4/19,6:27:55,15.1,6.67,0.09,0.1,10.04,99.4,0.26,27,9.33
6/4/19,6:28:00,15.11,6.66,0.1,0.1,10.03,99.3,0.27,25.3,9.31
6/4/19,6:28:05,15.11,6.9,0.1,0.1,10.03,99.3,0.22,28.5,9.29
6/4/19,6:28:10,15.12,6.93,0.11,0.1,10.03,99.3,0.22,34.3,9.33
6/4/19,6:28:15,15.13,6.79,0.1,0.1,10.03,99.3,0.24,19.3,9.31
6/4/19,6:28:20,15.14,6.69,0.09,0.1,10.03,99.3,0.25,23.8,9.33
6/4/19,6:28:25,15.15,6.66,0.11,0.1,10.02,99.3,0.21,25,9.34
6/4/19,6:28:30,15.16,6.66,0.1,0.1,10.02,99.3,0.21,25.3,9.33
6/4/19,6:28:35,15.17,6.61,0.1,0.1,10.01,99.3,0.19,27.6,9.33
6/4/19,6:28:40,15.18,6.63,0.11,0.1,10.01,99.3,0.19,26.5,9.33
6/4/19,6:28:45,15.19,6.64,0.11,0.1,10.01,99.3,0.17,26.2,9.34
Eureka_Manta_2,V7.04,2193610,,,,,,,,
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
19-Apr,6:29:40,15.29,6.65,0.11,0.1,9.99,99.3,0.16,25.5,9.31
6/4/19,6:29:45,15.3,6.62,0.11,0.1,9.99,99.3,0.18,27.2,9.31
6/4/19,6:29:50,15.31,6.59,0.11,0.1,9.99,99.3,0.19,29.2,9.31
6/4/19,6:29:55,15.32,6.61,0.11,0.1,9.99,99.3,0.18,27.9,9.33
6/4/19,6:30:00,15.33,6.55,0.11,0.1,9.98,99.3,0.18,31,9.34
