20190820_SBNMS
Eureka_Manta_2,V7.04,02193610
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
08/20/19,09:36:25,10.36,8.27,13.62,49100,8.38,91.4,3.93,-63.3,8.59
08/20/19,09:36:30,15.04,8.38,8.68,48270,7.78,93.4,2.30,-70.3,8.51
08/20/19,09:36:35,18.06,8.43,3.61,48690,9.26,118.0,1.48,-73.8,8.61
08/20/19,09:36:40,18.85,8.47,0.17,34470,9.97,121.5,0.38,-76.5,8.58
08/20/19,09:36:45,18.76,8.65,0.16,86.7,11.32,120.9,-0.31,-86.9,8.49
08/20/19,09:36:50,18.71,8.78,0.16,42.7,11.22,119.8,0.06,-93.8,8.58
08/20/19,09:36:55,18.65,8.83,0.16,34.8,11.13,118.6,0.08,-96.8,8.63
08/20/19,09:37:00,18.50,8.85,0.17,30.5,11.06,117.5,0.08,-98.1,8.51
08/20/19,09:37:05,18.41,8.87,0.16,27.8,10.99,116.6,0.09,-98.8,8.61
08/20/19,09:37:10,18.40,8.88,0.16,25.9,10.95,116.2,0.07,-99.3,8.56
Eureka_Manta_2,V7.04,02193610
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
08/20/19,10:21:10,19.82,8.43,0.72,49550,7.09,93.7,0.68,-74.3,8.71
08/20/19,10:21:15,19.84,8.44,0.73,49630,7.23,95.7,0.65,-74.8,8.58
08/20/19,10:21:20,19.80,8.44,0.80,49660,7.35,97.3,0.69,-74.9,8.66
08/20/19,10:21:25,17.58,8.45,6.80,50190,7.70,97.9,1.32,-75.0,8.64
08/20/19,10:21:30,11.39,8.41,13.93,51640,8.63,97.4,2.93,-70.9,8.59
08/20/19,10:21:35,8.09,8.27,19.16,51450,9.10,95.4,1.43,-62.5,8.71
08/20/19,10:21:40,7.75,8.24,24.79,51640,9.08,94.5,1.14,-60.6,8.73
08/20/19,10:21:45,7.59,8.22,30.23,51550,8.40,87.0,0.79,-59.4,8.59
08/20/19,10:21:50,7.59,8.21,34.51,51510,8.41,87.1,0.82,-59.2,8.68
08/20/19,10:21:55,7.59,8.21,33.95,51530,8.42,87.3,0.99,-59.0,8.66
08/20/19,10:22:00,7.60,8.21,33.81,51520,8.46,87.6,1.02,-59.2,8.63
08/20/19,10:22:05,7.59,8.21,33.40,51550,8.49,88.0,0.98,-59.3,8.66
08/20/19,10:22:10,7.59,8.22,29.40,51520,8.51,88.1,0.89,-59.5,8.73
08/20/19,10:22:15,7.61,8.22,24.80,51490,8.52,88.3,0.92,-59.8,8.66
08/20/19,10:22:20,7.91,8.25,19.23,51410,8.51,88.8,1.25,-61.3,8.68
08/20/19,10:22:25,8.45,8.28,14.29,51040,8.45,89.1,1.75,-63.0,8.58
08/20/19,10:22:30,12.10,8.42,9.78,50540,7.92,90.3,2.97,-71.5,8.61
08/20/19,10:22:35,15.60,8.46,5.22,49140,9.04,110.1,1.73,-74.8,8.66
08/20/19,10:22:40,19.47,8.48,0.79,49600,9.08,119.4,0.64,-77.1,8.61
08/20/19,10:22:45,19.74,8.49,0.21,17400,10.49,121.5,0.17,-77.6,8.58
08/20/19,10:22:50,19.75,8.70,0.21,72.7,11.10,121.0,-0.05,-90.1,8.63
08/20/19,10:22:55,19.65,8.84,0.20,51.3,10.80,117.5,0.06,-97.4,8.53
08/20/19,10:23:00,19.62,8.89,0.21,43.1,10.38,112.9,0.05,-100.7,8.43
Eureka_Manta_2,V7.04,02193610
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
08/20/19,10:59:20,20.42,8.44,0.94,47020,7.49,99.1,0.48,-75.5,8.76
08/20/19,10:59:25,17.28,8.47,5.04,50180,7.81,98.8,1.05,-75.9,8.71
08/20/19,10:59:30,13.83,8.46,10.28,50630,8.12,96.1,2.30,-74.4,8.68
08/20/19,10:59:35,9.52,8.37,16.32,51120,8.40,90.8,3.22,-68.5,8.74
08/20/19,10:59:40,9.29,8.34,18.13,51170,8.42,90.5,2.83,-66.9,8.73
08/20/19,10:59:45,9.32,8.34,17.97,51190,8.53,91.8,2.89,-66.5,8.66
08/20/19,10:59:50,7.61,8.27,22.43,52450,8.89,92.5,0.79,-62.6,8.76
08/20/19,10:59:55,7.26,8.23,27.66,51610,8.98,92.3,0.68,-60.3,8.73
08/20/19,11:00:00,7.27,8.23,27.23,51600,8.92,91.7,0.61,-60.0,8.59
08/20/19,11:00:05,7.27,8.23,26.93,51630,8.89,91.5,0.60,-60.1,8.76
08/20/19,11:00:10,7.27,8.23,26.83,51590,8.87,91.2,0.64,-60.2,8.71
08/20/19,11:00:15,7.37,8.23,24.35,51490,8.79,90.5,0.75,-60.4,8.64
08/20/19,11:00:20,7.54,8.25,20.76,51410,8.76,90.6,0.91,-61.2,8.73
08/20/19,11:00:25,8.98,8.34,17.17,50930,8.53,91.0,2.88,-66.4,8.74
08/20/19,11:00:30,9.37,8.36,13.88,51110,8.49,91.5,3.34,-68.0,8.64
08/20/19,11:00:35,10.48,8.40,10.47,50280,9.03,99.2,3.63,-70.2,8.76
08/20/19,11:00:40,14.55,8.47,7.54,49700,8.87,106.0,1.77,-75.0,8.76
08/20/19,11:00:45,16.08,8.49,5.31,49590,9.34,115.1,1.28,-76.5,8.61
08/20/19,11:00:50,18.36,8.49,2.78,48990,9.40,120.7,0.85,-77.7,8.71
08/20/19,11:00:55,20.25,8.49,0.11,34450,9.79,122.5,4.13,-78.2,8.58
08/20/19,11:01:00,20.26,8.75,0.11,66.5,11.18,123.1,-0.16,-92.7,8.56
08/20/19,11:01:05,20.22,8.83,0.11,42.4,11.11,122.3,-0.26,-97.3,8.56
08/20/19,11:01:10,20.18,8.91,0.11,36.8,11.07,121.7,-0.01,-102.0,8.61
08/20/19,11:01:15,20.21,8.88,0.11,49.0,10.96,120.6,-0.29,-100.1,8.59
08/20/19,11:01:20,20.23,8.37,0.11,36.8,10.86,119.5,-0.15,-71.3,8.66
08/20/19,11:01:25,20.31,8.76,0.11,30.4,10.66,117.5,-0.24,-93.2,8.68
08/20/19,11:01:30,20.35,8.77,0.10,26.7,10.56,116.5,-0.26,-93.9,8.49
Eureka_Manta_2,V7.04,02193610
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
08/20/19,11:37:00,20.87,8.41,0.56,24220,7.99,97.1,0.79,-73.7,8.63
08/20/19,11:37:05,20.33,8.45,2.83,49680,6.96,93.0,0.63,-75.6,8.66
08/20/19,11:37:10,14.93,8.46,8.05,51750,7.65,93.0,1.45,-74.6,8.54
08/20/19,11:37:15,9.51,8.36,13.29,52560,8.11,88.2,2.72,-70.8,8.66
08/20/19,11:37:20,7.88,8.27,18.52,51600,8.33,86.9,1.22,-62.8,8.68
08/20/19,11:37:25,7.47,8.23,24.31,51640,8.26,85.4,0.74,-60.6,8.63
08/20/19,11:37:30,7.33,8.22,29.88,51670,8.23,84.8,0.62,-59.7,8.68
08/20/19,11:37:35,7.26,8.21,33.28,51620,8.24,84.7,0.57,-59.2,8.29
08/20/19,11:37:40,7.25,8.21,32.24,51680,8.23,84.6,0.67,-59.0,8.46
08/20/19,11:37:45,7.25,8.21,32.05,51700,8.18,84.1,0.53,-59.2,8.51
08/20/19,11:37:50,7.27,8.22,29.48,51640,8.20,84.3,0.69,-59.4,8.63
08/20/19,11:37:55,7.36,8.22,26.83,51640,8.24,85.0,0.67,-59.7,8.53
08/20/19,11:38:00,7.42,8.24,23.52,51610,8.35,86.1,0.77,-60.5,8.69
08/20/19,11:38:05,7.51,8.25,21.05,51610,8.34,86.3,0.84,-61.0,8.56
08/20/19,11:38:10,7.60,8.26,18.67,51500,8.37,86.7,0.91,-61.5,8.56
08/20/19,11:38:15,7.91,8.28,15.47,51440,8.37,87.3,1.40,-62.8,8.64
08/20/19,11:38:20,8.42,8.31,12.30,51220,8.31,87.6,1.81,-64.4,8.56
08/20/19,11:38:25,11.33,8.42,9.10,50280,7.92,88.8,2.60,-70.4,8.38
08/20/19,11:38:30,13.74,8.46,6.25,49720,8.97,105.5,1.74,-74.0,8.53
08/20/19,11:38:35,18.34,8.48,3.57,49040,8.79,112.8,0.93,-76.8,8.53
08/20/19,11:38:40,20.18,8.49,1.15,49640,9.20,122.5,0.57,-78.0,8.54
08/20/19,11:38:45,20.44,8.46,0.17,1730,11.05,122.7,0.06,-76.5,8.53
08/20/19,11:38:50,20.27,8.61,0.16,52.0,11.05,121.7,1.56,-84.7,8.49
08/20/19,11:38:55,20.16,8.73,0.17,36.8,10.87,119.5,0.31,-91.9,8.58
08/20/19,11:39:00,20.07,8.76,0.16,31.5,10.82,118.7,0.19,-93.2,8.63
08/20/19,11:39:05,20.09,8.76,0.16,30.1,10.70,117.4,0.23,-93.2,8.49
08/20/19,11:39:10,20.11,8.85,0.16,26.2,10.59,116.3,0.25,-98.4,8.59
08/20/19,11:39:15,20.01,8.87,0.15,24.8,10.57,115.9,0.15,-99.6,8.61
08/20/19,11:39:20,19.93,8.88,0.15,23.6,10.31,112.8,0.28,-99.8,8.36
08/20/19,11:39:25,20.14,8.92,0.15,22.3,10.22,112.3,0.16,-102.6,8.56
08/20/19,11:39:30,20.38,8.93,0.15,21.1,10.12,111.7,0.08,-102.9,8.41
08/20/19,11:39:35,20.51,8.93,0.15,20.2,10.01,110.8,0.06,-103.1,8.53
08/20/19,11:39:40,20.56,8.94,0.15,19.4,9.94,110.2,0.17,-103.8,8.46
Eureka_Manta_2,V7.04,02193610
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
08/20/19,12:21:00,28.39,7.24,0.14,0.1,7.74,99.2,0.84,-7.2,8.29
08/20/19,12:21:05,28.12,7.12,0.14,0.1,7.78,99.2,0.13,-0.2,8.54
08/20/19,12:21:10,27.71,7.19,0.14,0.1,7.84,99.2,0.70,-4.3,8.56
08/20/19,12:21:15,27.26,7.13,0.14,0.2,7.90,99.2,0.85,-1.1,8.53
08/20/19,12:21:20,27.16,7.21,0.13,0.1,7.91,99.2,0.43,-5.8,8.63
08/20/19,12:21:25,21.78,8.40,0.34,18320,8.21,99.2,0.51,-73.3,8.61
08/20/19,12:21:30,21.08,8.43,0.76,49880,7.16,97.1,0.48,-75.0,8.53
08/20/19,12:21:35,20.01,8.45,3.72,50040,7.43,98.8,0.61,-75.6,8.54
08/20/19,12:21:40,15.89,8.45,8.15,51250,7.98,98.6,1.28,-74.5,8.64
08/20/19,12:21:45,11.29,8.40,13.00,51390,8.57,96.4,3.43,-71.0,8.59
08/20/19,12:21:50,9.22,8.33,18.35,51400,8.42,90.4,2.99,-66.5,8.64
08/20/19,12:21:55,8.07,8.27,23.82,51990,8.63,90.6,1.84,-63.6,8.59
08/20/19,12:22:00,6.83,8.19,28.20,51810,8.74,89.0,0.32,-58.1,8.48
08/20/19,12:22:05,6.83,8.18,26.43,51820,8.68,88.4,0.35,-57.1,8.61
08/20/19,12:22:10,6.82,8.17,26.49,51820,8.64,88.0,0.35,-57.0,8.41
08/20/19,12:22:15,6.92,8.18,25.14,51760,8.62,87.9,0.41,-57.1,8.56
08/20/19,12:22:20,7.81,8.21,22.20,51280,8.46,88.0,1.17,-58.7,8.66
08/20/19,12:22:25,8.80,8.28,19.48,51260,8.31,88.4,2.65,-62.5,8.61
08/20/19,12:22:30,9.16,8.30,16.39,51270,8.32,89.2,3.23,-64.4,8.59
08/20/19,12:22:35,9.55,8.33,13.80,51060,8.42,91.0,3.46,-65.7,8.63
08/20/19,12:22:40,11.62,8.39,10.79,50270,8.18,92.2,3.21,-69.4,8.51
08/20/19,12:22:45,13.81,8.44,8.65,50370,8.11,95.8,1.83,-72.8,8.49
08/20/19,12:22:50,16.23,8.46,5.86,49620,8.16,100.9,1.32,-74.7,8.61
08/20/19,12:22:55,19.41,8.48,2.93,49370,7.92,103.9,0.76,-76.8,8.59
08/20/19,12:23:00,20.85,8.48,0.26,49670,8.18,110.2,0.46,-77.4,8.56
08/20/19,12:23:05,20.84,8.64,0.12,209.0,10.40,115.9,-0.50,-84.4,8.53
08/20/19,12:23:10,20.76,8.76,0.12,49.7,10.63,118.2,0.10,-91.3,8.49
08/20/19,12:23:15,20.72,8.78,0.12,35.0,10.88,121.0,0.00,-93.4,8.53
08/20/19,12:23:20,20.61,8.78,0.13,30.1,10.97,121.7,0.65,-94.8,8.59
08/20/19,12:23:25,20.61,8.81,0.12,31.5,10.91,121.0,0.51,-96.1,8.54
08/20/19,12:23:30,20.69,8.84,0.11,36.6,10.59,117.6,0.00,-98.0,8.51
08/20/19,12:23:35,20.86,8.87,0.10,30.0,10.19,113.6,0.19,-100.0,8.48
Eureka_Manta_2,V7.04,02193610
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
08/20/19,13:29:40,27.31,5.10,0.20,0.1,8.05,101.2,0.79,110.7,8.58
08/20/19,13:29:45,26.93,5.16,0.19,0.1,8.11,101.3,0.55,113.5,8.64
08/20/19,13:29:50,21.10,8.35,0.68,49080,6.59,89.0,0.44,-70.2,8.63
08/20/19,13:29:55,21.00,8.32,0.70,50160,6.43,87.2,0.54,-69.3,8.59
08/20/19,13:30:00,21.09,8.31,0.63,50050,6.52,88.4,0.36,-68.2,8.63
08/20/19,13:30:05,15.88,8.30,7.24,52540,7.28,90.5,1.02,-67.8,8.53
08/20/19,13:30:10,9.08,8.10,14.09,52080,8.16,87.7,3.41,-55.3,8.59
08/20/19,13:30:15,7.61,7.92,21.30,51760,8.21,85.2,0.76,-44.3,8.64
08/20/19,13:30:20,7.52,7.88,28.26,51830,8.02,83.1,0.68,-41.6,8.48
08/20/19,13:30:25,7.29,7.86,32.78,51820,7.98,82.2,1.85,-39.8,8.63
08/20/19,13:30:30,7.32,7.85,32.14,51800,7.96,82.1,0.72,-39.4,8.63
08/20/19,13:30:35,7.31,7.85,32.02,51870,7.89,81.3,0.67,-39.6,8.61
08/20/19,13:30:40,7.32,7.86,31.83,51830,7.87,81.1,0.67,-40.0,8.63
08/20/19,13:30:45,7.34,7.87,30.70,51860,7.97,82.2,0.59,-40.7,8.63
08/20/19,13:30:50,7.51,7.89,26.23,51680,8.01,82.9,0.70,-41.8,8.66
08/20/19,13:30:55,7.58,7.92,21.57,51680,8.12,84.1,0.77,-43.3,8.61
08/20/19,13:31:00,7.61,7.94,17.17,51680,8.21,85.1,0.84,-44.6,8.63
08/20/19,13:31:05,7.68,7.97,14.48,51590,8.24,85.6,0.84,-45.9,8.66
08/20/19,13:31:10,9.81,8.09,10.59,50850,7.96,86.5,3.25,-52.9,8.68
08/20/19,13:31:15,13.26,8.20,6.83,49660,7.60,88.5,1.52,-60.1,8.66
08/20/19,13:31:20,19.32,8.34,3.16,49500,6.97,91.3,0.74,-69.2,8.56
08/20/19,13:31:25,20.62,8.40,0.17,34510,9.54,120.3,0.60,-73.1,8.66
08/20/19,13:31:30,20.40,8.60,0.18,53.6,10.81,119.4,0.18,-84.2,8.63
08/20/19,13:31:35,20.38,8.67,0.16,40.0,10.64,117.5,0.20,-88.4,8.59
08/20/19,13:31:40,20.44,8.72,0.16,28.2,10.41,115.0,0.03,-91.0,8.61
08/20/19,13:31:45,20.50,8.73,0.17,24.9,10.34,114.4,0.08,-91.8,8.56
08/20/19,13:31:50,20.54,8.74,0.16,22.6,10.23,113.3,0.24,-92.1,8.39
08/20/19,13:31:55,20.41,8.75,0.16,21.1,10.17,112.3,0.06,-92.6,8.53
08/20/19,13:32:00,20.39,8.74,0.15,20.1,10.13,111.8,0.22,-92.1,8.53
Eureka_Manta_2,V7.04,02193610
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
08/20/19,14:09:30,27.54,6.81,0.17,12.2,7.94,100.2,1.00,17.4,8.59
08/20/19,14:09:35,27.54,6.90,0.17,12.0,7.94,100.3,0.84,12.3,8.63
08/20/19,14:09:40,27.47,7.87,0.16,11.6,7.96,100.3,0.94,-44.2,8.48
08/20/19,14:09:45,27.31,7.31,0.18,11.4,7.99,100.4,1.01,-11.5,8.49
08/20/19,14:09:50,21.33,8.43,0.62,49170,7.35,99.7,0.37,-74.7,8.59
08/20/19,14:09:55,19.96,8.44,4.82,49970,6.65,88.3,0.58,-75.1,8.54
08/20/19,14:10:00,17.99,8.44,9.32,50770,7.03,90.3,1.18,-74.7,8.49
08/20/19,14:10:05,13.12,8.40,13.81,51820,7.59,88.9,1.88,-71.2,8.59
08/20/19,14:10:10,9.18,8.28,18.65,51970,8.16,87.8,2.68,-63.3,8.49
08/20/19,14:10:15,7.56,8.16,23.51,51700,8.32,86.2,0.93,-56.2,8.44
08/20/19,14:10:20,7.29,8.12,28.35,51700,8.31,85.5,0.56,-54.1,8.49
08/20/19,14:10:25,7.31,8.10,27.42,51730,8.24,84.8,0.64,-53.2,8.46
08/20/19,14:10:30,7.34,8.10,27.34,51630,8.22,84.6,0.57,-52.9,8.44
08/20/19,14:10:35,7.29,8.10,25.70,51690,8.15,83.9,0.62,-52.9,8.54
08/20/19,14:10:40,7.36,8.10,23.00,51640,8.14,83.9,0.72,-53.3,8.56
08/20/19,14:10:45,7.53,8.12,21.25,51560,8.17,84.5,0.94,-54.1,8.53
08/20/19,14:10:50,7.71,8.13,19.69,51540,8.23,85.5,1.00,-54.9,8.54
08/20/19,14:10:55,8.54,8.19,16.55,51130,8.14,86.0,2.00,-58.1,8.56
08/20/19,14:11:00,9.79,8.26,14.33,50760,8.05,87.3,3.28,-62.2,8.53
08/20/19,14:11:05,13.02,8.34,10.96,49550,7.74,89.5,2.43,-67.6,8.58
08/20/19,14:11:10,16.45,8.41,7.35,48650,7.39,91.3,1.66,-72.3,8.56
08/20/19,14:11:15,19.37,8.46,4.13,49550,8.84,116.0,1.00,-76.2,8.53
08/20/19,14:11:20,20.46,8.48,2.12,49460,8.77,117.3,0.51,-77.4,8.53
08/20/19,14:11:25,20.89,8.49,0.36,49740,8.80,118.7,0.43,-78.0,8.51
08/20/19,14:11:30,20.86,8.42,0.16,214.2,10.68,119.0,0.84,-74.2,8.53
08/20/19,14:11:35,20.79,8.60,0.15,40.1,10.68,118.8,1.11,-84.4,8.61
08/20/19,14:11:40,20.72,8.51,0.16,33.2,10.62,118.0,0.53,-79.1,8.58
08/20/19,14:11:45,20.82,8.61,0.15,38.8,10.52,117.2,0.80,-85.3,8.53
08/20/19,14:11:50,21.01,8.59,0.16,30.0,10.42,116.5,0.76,-84.0,8.63
08/20/19,14:11:55,21.26,8.59,0.15,26.0,10.21,114.7,0.60,-84.0,8.49
08/20/19,14:12:00,21.30,8.48,0.15,23.5,9.94,111.7,0.63,-77.9,8.48
08/20/19,14:12:05,21.43,8.46,0.15,22.1,9.89,111.5,0.66,-76.9,8.53
08/20/19,14:12:10,21.47,8.39,0.14,20.4,9.82,110.7,0.56,-72.5,8.36
08/20/19,14:12:15,21.43,8.41,0.14,19.2,9.75,109.9,0.76,-73.5,8.53
08/20/19,14:12:20,21.39,8.44,0.15,18.4,9.70,109.1,0.64,-75.2,7.71
Eureka_Manta_2,V7.04,02193610
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
08/20/19,17:36:30,26.36,7.69,0.12,0.1,8.33,103.0,0.28,-33.5,9.04
08/20/19,17:36:35,26.34,7.68,0.12,0.1,8.34,103.0,0.29,-32.9,9.03
08/20/19,17:36:40,26.32,7.67,0.12,0.1,8.34,103.0,0.27,-32.0,9.03
Eureka_Manta_2,V7.04,02193610
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
08/20/19,17:37:20,26.23,7.80,0.15,0.1,8.34,102.9,0.33,-39.7,9.03
