20190820_SBNMS
Eureka_Manta_2,V7.04,02193610
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
Eureka_Manta_2,V7.04,02193610
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
Eureka_Manta_2,V7.04,02193610
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
08/20/19,09:35:00,23.54,5.18,0.16,0.0,8.44,99.0,0.06,109.0,8.59
08/20/19,09:35:05,19.18,8.09,0.68,48230,7.56,98.3,0.79,-55.3,8.69
08/20/19,09:35:10,19.12,8.28,0.66,49310,7.31,95.4,0.78,-65.9,8.69
08/20/19,09:35:15,19.11,8.32,0.77,49310,7.45,97.1,0.75,-68.1,8.59
08/20/19,09:35:20,18.88,8.36,3.78,49430,7.60,98.7,1.07,-70.2,8.66
08/20/19,09:35:25,16.85,8.37,9.15,50320,7.97,100.0,2.04,-70.2,8.69
08/20/19,09:35:30,11.26,8.34,15.16,51660,8.77,98.7,3.91,-66.9,8.59
08/20/19,09:35:35,8.54,8.23,21.40,51300,8.97,94.8,1.98,-60.3,8.69
08/20/19,09:35:40,7.66,8.20,27.60,51970,8.98,93.3,0.97,-58.4,8.69
08/20/19,09:35:45,7.28,8.14,33.02,51390,9.02,92.7,0.65,-55.4,8.36
08/20/19,09:35:50,7.29,8.14,32.73,51410,8.93,91.8,0.80,-55.1,8.61
08/20/19,09:35:55,7.30,8.14,32.50,51350,8.90,91.5,0.73,-55.2,8.64
08/20/19,09:36:00,7.31,8.14,32.51,51380,8.80,90.5,0.72,-55.5,8.53
08/20/19,09:36:05,7.33,8.15,31.31,51420,8.75,90.1,0.70,-55.7,8.66
08/20/19,09:36:10,7.33,8.16,28.89,51410,8.75,90.0,0.72,-56.1,8.63
08/20/19,09:36:15,8.19,8.19,24.13,50690,8.61,90.1,1.88,-58.1,8.48
08/20/19,09:36:20,8.48,8.23,19.08,51140,8.62,91.0,2.01,-60.3,8.66
