20190430_SBNMS
Eureka_Manta_2,V7.03,08162383
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
Eureka_Manta_2,V7.03,08162383
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
Eureka_Manta_2,V7.03,08162383
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
04/30/19,08:51:00,7.56,7.63,49430,0.34,1.05,9.73,99.7,-24.3,9.03,31.93,31630,-0.2
04/30/19,08:51:05,7.53,7.88,49200,3.49,1.50,9.79,100.2,-38.1,9.03,31.77,31490,-0.2
04/30/19,08:51:10,7.39,7.99,49240,10.41,1.71,10.07,102.6,-44.3,8.76,31.78,31510,-0.2
04/30/19,08:51:15,7.32,8.02,49310,11.33,1.71,10.20,103.8,-46.0,9.03,31.82,31550,-0.2
04/30/19,08:51:20,7.33,8.04,49320,11.12,1.84,10.22,104.1,-47.0,8.99,31.83,31560,-0.2
04/30/19,08:51:25,7.34,8.06,49320,11.18,1.85,10.24,104.3,-48.0,8.93,31.84,31560,-0.2
04/30/19,08:51:30,7.15,8.08,49300,14.89,1.33,10.30,104.4,-49.3,9.03,31.80,31550,-0.2
04/30/19,08:51:35,6.37,8.09,49490,21.23,1.24,10.47,104.3,-49.9,9.04,31.86,31670,-0.2
04/30/19,08:51:40,6.41,8.09,49580,20.56,1.37,10.45,104.2,-49.6,8.99,31.92,31730,-0.2
04/30/19,08:51:45,7.01,8.09,49410,17.41,1.38,10.29,104.1,-50.1,8.93,31.86,31620,-0.2
04/30/19,08:51:50,7.25,8.11,49410,12.60,1.63,10.25,104.2,-50.8,8.94,31.89,31620,-0.2
04/30/19,08:51:55,7.43,8.12,49310,6.85,1.80,10.21,104.3,-51.4,8.84,31.83,31550,-0.3
04/30/19,08:52:00,7.55,8.13,49270,1.49,1.19,10.20,104.4,-52.0,8.98,31.82,31530,-0.2
04/30/19,08:52:05,7.42,8.13,102.3,0.10,1.18,12.62,104.6,-52.1,8.99,0.04,65.4,-0.2
04/30/19,08:52:10,7.15,8.12,80.9,0.11,-0.11,12.72,104.7,-51.5,8.99,0.03,51.7,-0.2
04/30/19,08:52:15,7.01,8.11,58.0,0.13,0.02,12.75,104.6,-50.9,8.98,0.02,37.1,-0.2
04/30/19,08:52:20,6.94,8.10,53.9,0.12,1.29,12.70,104.0,-50.4,8.89,0.02,34.5,-0.2
04/30/19,08:52:25,6.88,8.10,49.0,0.11,2.02,12.67,103.6,-50.3,8.99,0.02,31.3,-0.2
04/30/19,08:52:30,6.76,8.09,46.8,0.12,-0.06,12.60,102.8,-49.5,8.73,0.02,29.9,-0.2
Eureka_Manta_2,V7.03,08162383
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
04/30/19,09:27:40,7.56,8.11,49240,0.69,1.20,9.99,102.3,-51.0,8.91,31.80,31510,-0.2
04/30/19,09:27:45,7.55,8.14,49150,0.80,1.08,10.17,104.1,-52.6,8.96,31.73,31460,-0.2
04/30/19,09:27:50,7.34,8.16,49250,7.12,1.85,10.35,105.4,-53.6,8.81,31.78,31520,-0.2
04/30/19,09:27:55,6.79,8.17,49410,14.01,2.76,10.42,104.8,-54.1,8.94,31.84,31620,-0.2
04/30/19,09:28:00,6.48,8.17,49490,20.43,5.62,10.47,104.6,-54.2,8.89,31.86,31670,-0.2
04/30/19,09:28:05,6.20,8.18,49650,26.03,7.90,10.52,104.4,-54.6,8.99,31.95,31770,-0.2
04/30/19,09:28:10,6.19,8.18,49660,26.00,5.77,10.52,104.4,-54.7,8.96,31.95,31780,-0.2
04/30/19,09:28:15,6.21,8.18,49600,23.19,7.08,10.53,104.6,-54.7,8.93,31.91,31740,-0.2
04/30/19,09:28:20,6.63,8.18,49560,17.41,2.72,10.46,104.8,-54.7,8.98,31.93,31710,-0.2
04/30/19,09:28:25,6.89,8.18,49680,11.97,2.32,10.41,105.1,-54.7,8.96,32.05,31790,-0.2
04/30/19,09:28:30,7.42,8.18,49430,6.28,1.80,10.35,105.7,-54.8,8.94,31.92,31640,-0.3
04/30/19,09:28:35,7.49,8.18,49390,4.92,1.81,10.41,106.5,-55.0,9.01,31.90,31610,-0.2
04/30/19,09:28:40,7.55,8.18,5655,0.23,0.68,12.59,106.8,-55.1,8.96,3.06,3619,-0.2
04/30/19,09:28:45,7.42,8.19,98.4,0.12,0.00,12.94,107.3,-55.3,8.93,0.04,63.0,-0.2
04/30/19,09:28:50,6.99,8.18,64.2,0.10,-0.94,13.08,107.3,-55.1,8.99,0.03,41.1,-0.3
04/30/19,09:28:55,6.74,8.01,49.1,0.10,-0.13,13.12,107.0,-45.1,8.99,0.02,31.4,-0.3
04/30/19,09:29:00,6.55,7.94,41.4,0.10,-0.06,13.06,105.9,-41.2,8.94,0.01,26.5,-0.2
04/30/19,09:29:05,6.39,7.92,38.2,0.11,-0.05,12.95,104.6,-40.0,8.68,0.01,24.4,-0.2
Eureka_Manta_2,V7.03,08162383
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
04/30/19,10:00:40,6.74,8.19,49410,0.51,1.65,9.96,100.0,-55.6,8.91,31.84,31620,-0.2
04/30/19,10:00:45,6.46,8.20,49540,7.47,3.34,10.09,100.7,-55.8,9.01,31.90,31700,-0.3
04/30/19,10:00:50,6.02,8.20,49680,13.92,3.98,10.22,101.1,-55.5,8.99,31.95,31800,-0.2
04/30/19,10:00:55,5.76,8.19,49770,19.45,6.17,10.41,102.3,-54.9,8.89,31.98,31850,-0.2
04/30/19,10:01:00,5.72,8.18,49860,24.35,6.19,10.43,102.4,-54.5,8.96,32.04,31910,-0.3
04/30/19,10:01:05,5.62,8.17,49860,29.18,4.12,10.47,102.6,-54.1,9.01,32.03,31910,-0.3
04/30/19,10:01:10,5.60,8.17,49940,34.08,2.69,10.47,102.6,-54.1,8.93,32.08,31960,-0.2
04/30/19,10:01:15,5.56,8.17,49940,36.68,6.30,10.48,102.6,-54.0,8.96,32.08,31960,-0.2
04/30/19,10:01:20,5.56,8.17,49850,36.41,2.22,10.48,102.6,-54.0,9.01,32.02,31900,-0.3
04/30/19,10:01:25,5.57,8.17,49960,35.44,9.17,10.48,102.6,-54.0,8.91,32.09,31970,-0.2
04/30/19,10:01:30,5.60,8.17,49900,31.30,4.08,10.48,102.6,-54.2,8.88,32.06,31930,-0.2
04/30/19,10:01:35,5.65,8.18,49840,26.80,4.43,10.47,102.6,-54.4,8.94,32.02,31900,-0.2
04/30/19,10:01:40,5.72,8.19,49900,22.24,3.32,10.46,102.8,-54.9,8.86,32.07,31930,-0.2
04/30/19,10:01:45,5.76,8.19,49850,17.52,3.85,10.46,102.9,-55.2,8.93,32.04,31900,-0.2
04/30/19,10:01:50,5.95,8.20,49770,13.09,3.58,10.43,103.0,-55.7,8.91,32.00,31850,-0.2
04/30/19,10:01:55,6.32,8.21,49660,8.61,2.94,10.55,105.1,-56.4,8.66,31.97,31780,-0.3
04/30/19,10:02:00,6.63,8.22,49520,3.71,3.16,10.60,106.2,-56.8,8.88,31.90,31690,-0.2
04/30/19,10:02:05,6.73,8.23,49500,0.12,3.04,10.64,106.9,-57.4,8.88,31.90,31680,-0.3
04/30/19,10:02:10,6.67,8.24,124.2,0.12,0.82,13.18,107.3,-58.0,8.89,0.05,79.4,-0.3
04/30/19,10:02:15,6.57,8.23,57.1,0.11,-2.31,13.16,106.8,-57.3,8.96,0.02,36.5,-0.2
04/30/19,10:02:20,6.50,8.22,45.8,0.11,-3.07,13.13,106.3,-56.7,8.89,0.02,29.3,-0.3
04/30/19,10:02:25,6.44,8.21,41.2,0.11,-2.77,13.04,105.5,-56.2,8.88,0.01,26.3,-0.2
Eureka_Manta_2,V7.03,08162383
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
04/30/19,10:34:50,6.55,8.19,49530,3.34,0.93,9.62,96.3,-55.3,9.03,31.90,31700,-0.2
04/30/19,10:34:55,6.50,8.19,49550,10.07,1.68,9.73,97.3,-55.5,8.96,31.91,31710,-0.3
04/30/19,10:35:00,6.48,8.20,49560,16.57,2.32,9.83,98.3,-55.7,8.96,31.92,31720,-0.3
04/30/19,10:35:05,6.15,8.20,49670,23.10,2.98,9.95,98.7,-55.7,8.98,31.96,31790,-0.3
04/30/19,10:35:10,5.18,8.16,50210,29.44,3.28,10.22,99.2,-53.4,8.91,32.22,32130,-0.2
04/30/19,10:35:15,5.08,8.15,50250,36.26,1.78,10.28,99.6,-52.7,8.96,32.24,32160,-0.2
04/30/19,10:35:20,5.06,8.15,50200,39.37,1.40,10.32,99.9,-52.5,8.91,32.20,32130,-0.2
04/30/19,10:35:25,5.06,8.15,50230,39.25,1.28,10.35,100.2,-52.6,8.79,32.22,32140,-0.3
04/30/19,10:35:30,5.08,8.15,50190,37.37,9.87,10.32,99.9,-52.6,8.91,32.20,32120,-0.2
04/30/19,10:35:35,5.10,8.15,50210,33.52,5.79,10.32,100.0,-52.8,8.94,32.22,32140,-0.2
04/30/19,10:35:40,5.15,8.15,50150,29.42,5.29,10.30,99.9,-52.9,8.86,32.18,32090,-0.2
04/30/19,10:35:45,5.31,8.16,50040,24.67,1.77,10.28,100.0,-53.2,8.98,32.12,32020,-0.3
04/30/19,10:35:50,6.34,8.19,49540,19.65,4.92,10.07,100.2,-55.1,8.93,31.88,31700,-0.2
04/30/19,10:35:55,6.48,8.20,49540,14.66,2.34,10.11,101.0,-56.1,8.66,31.90,31700,-0.3
04/30/19,10:36:00,6.50,8.21,49580,9.37,1.62,10.19,101.9,-56.4,8.84,31.93,31730,-0.2
04/30/19,10:36:05,6.52,8.21,49540,4.77,1.15,10.24,102.4,-56.5,8.76,31.91,31710,-0.2
04/30/19,10:36:10,6.56,8.21,49510,0.49,1.03,10.34,103.4,-56.6,8.76,31.89,31690,-0.2
04/30/19,10:36:15,6.56,8.22,5847,0.13,0.42,12.62,104.5,-56.7,8.93,3.16,3742,-0.3
04/30/19,10:36:20,6.47,8.21,57.5,0.12,-4.35,12.96,104.9,-56.5,8.89,0.02,36.8,-0.2
04/30/19,10:36:25,6.43,8.21,45.7,0.12,-4.93,13.00,105.1,-56.2,8.86,0.02,29.3,-0.2
04/30/19,10:36:30,6.46,8.20,38.7,0.12,-4.75,12.95,104.8,-55.6,8.79,0.01,24.8,-0.2
04/30/19,10:36:35,6.53,8.14,37.6,0.12,-5.09,12.90,104.6,-52.4,8.96,0.01,24.0,-0.3
Eureka_Manta_2,V7.03,08162383
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
04/30/19,11:01:30,6.76,8.21,49500,0.96,1.81,9.70,97.6,-56.6,8.98,31.90,31680,-0.2
04/30/19,11:01:35,6.18,8.21,49770,7.93,2.27,9.87,98.0,-56.4,8.96,32.04,31850,-0.2
04/30/19,11:01:40,5.67,8.20,49860,14.58,3.03,10.05,98.6,-55.8,8.74,32.04,31910,-0.2
04/30/19,11:01:45,5.54,8.20,50030,21.31,4.28,10.12,99.0,-55.4,8.94,32.14,32020,-0.2
04/30/19,11:01:50,5.35,8.19,50140,27.67,4.82,10.18,99.2,-55.2,8.96,32.20,32090,-0.2
04/30/19,11:01:55,5.15,8.18,50250,33.58,2.44,10.25,99.5,-54.3,8.91,32.25,32160,-0.2
04/30/19,11:02:00,5.11,8.17,50190,39.63,3.15,10.29,99.8,-53.9,8.94,32.20,32120,-0.2
04/30/19,11:02:05,5.11,8.17,50200,39.70,9.77,10.31,99.9,-54.0,8.94,32.21,32130,-0.2
04/30/19,11:02:10,5.12,8.17,50200,36.90,8.90,10.33,100.1,-54.0,8.91,32.21,32130,-0.2
04/30/19,11:02:15,5.16,8.18,50140,31.75,3.56,10.33,100.2,-54.2,8.93,32.17,32090,-0.2
04/30/19,11:02:20,5.31,8.18,50020,26.25,3.61,10.30,100.3,-54.6,8.94,32.11,32010,-0.2
04/30/19,11:02:25,5.53,8.20,50010,20.52,6.67,10.26,100.4,-55.6,8.89,32.12,32000,-0.2
04/30/19,11:02:30,5.60,8.21,49960,15.37,6.29,10.29,100.8,-56.1,8.98,32.10,31970,-0.2
04/30/19,11:02:35,5.90,8.22,49820,10.08,4.46,10.24,101.0,-56.6,8.93,32.04,31890,-0.2
04/30/19,11:02:40,6.28,8.23,49730,5.13,3.95,10.22,101.7,-57.3,8.91,32.01,31830,-0.2
04/30/19,11:02:45,6.71,8.24,49600,0.23,1.14,10.22,102.7,-58.0,8.93,31.97,31740,-0.2
04/30/19,11:02:50,6.74,8.22,572.9,0.10,0.41,12.65,103.3,-57.2,8.89,0.27,366.6,-0.2
04/30/19,11:02:55,6.64,8.24,63.7,0.10,-1.52,12.84,104.4,-58.4,8.89,0.02,40.8,-0.2
04/30/19,11:03:00,6.76,8.19,51.7,0.09,-1.88,12.88,105.0,-55.4,8.89,0.02,33.1,-0.2
04/30/19,11:03:05,6.83,8.14,49.2,0.09,-1.98,12.87,105.1,-52.6,8.86,0.02,31.5,-0.3
04/30/19,11:03:10,6.80,8.12,47.4,0.10,-1.20,12.87,105.0,-51.7,8.76,0.02,30.3,-0.2
Eureka_Manta_2,V7.03,08162383
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
04/30/19,11:36:20,7.99,8.18,49320,0.60,0.52,9.27,95.9,-54.9,9.01,31.89,31560,-0.3
04/30/19,11:36:25,7.58,8.19,49410,3.56,0.71,9.47,97.0,-55.5,8.98,31.92,31620,-0.2
04/30/19,11:36:30,7.42,8.20,49480,10.37,1.35,9.53,97.3,-56.0,8.91,31.96,31670,-0.2
04/30/19,11:36:35,7.07,8.20,49540,17.06,2.01,9.68,98.1,-56.2,8.98,31.97,31710,-0.2
04/30/19,11:36:40,6.48,8.21,49650,23.52,3.47,9.84,98.3,-56.3,8.96,31.98,31770,-0.2
04/30/19,11:36:45,6.37,8.21,49670,27.18,3.44,9.90,98.7,-56.4,8.89,31.99,31790,-0.2
04/30/19,11:36:50,6.37,8.21,49590,27.19,3.35,9.96,99.3,-56.5,8.98,31.93,31740,-0.2
04/30/19,11:36:55,6.37,8.21,49670,26.50,20.67,10.01,99.8,-56.6,8.96,31.98,31780,-0.2
04/30/19,11:37:00,6.42,8.21,49540,22.46,4.70,10.12,100.9,-56.6,8.89,31.90,31710,-0.2
04/30/19,11:37:05,6.63,8.22,49500,17.53,7.41,10.17,101.9,-56.8,8.96,31.89,31680,-0.2
04/30/19,11:37:10,7.22,8.21,49410,12.59,1.97,10.09,102.5,-56.8,8.96,31.88,31620,-0.2
04/30/19,11:37:15,7.43,8.22,49390,7.72,1.50,10.16,103.7,-57.0,8.91,31.90,31610,-0.2
04/30/19,11:37:20,7.52,8.22,49390,3.18,1.04,10.24,104.8,-57.1,8.94,31.90,31610,-0.2
04/30/19,11:37:25,7.89,8.21,48150,0.17,0.85,10.25,105.2,-56.9,8.96,31.05,30810,-0.2
04/30/19,11:37:30,7.83,8.21,95.6,0.12,2.32,12.66,106.0,-56.7,8.89,0.04,61.2,-0.2
04/30/19,11:37:35,7.55,8.21,54.5,0.13,4.58,12.76,106.1,-56.8,8.91,0.02,34.9,-0.2
04/30/19,11:37:40,7.51,8.17,45.6,0.13,4.51,12.75,105.9,-54.7,8.96,0.02,29.1,-0.2
04/30/19,11:37:45,7.55,8.16,39.8,0.12,3.16,12.65,105.2,-53.6,8.78,0.01,25.4,-0.3
Eureka_Manta_2,V7.03,08162383
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
04/30/19,12:31:40,7.37,8.21,49580,3.31,1.38,9.14,93.3,-56.8,8.94,32.02,31730,-0.3
04/30/19,12:31:45,7.12,8.21,49630,9.17,2.08,9.38,95.2,-56.5,8.98,32.03,31760,-0.3
04/30/19,12:31:50,6.48,8.21,49790,15.64,1.29,9.65,96.5,-56.3,8.83,32.08,31870,-0.3
04/30/19,12:31:55,5.00,8.18,50280,22.47,1.24,10.03,97.0,-54.2,8.94,32.25,32180,-0.3
04/30/19,12:32:00,4.94,8.16,50330,26.11,2.79,10.04,97.0,-53.3,8.93,32.28,32210,-0.2
04/30/19,12:32:05,4.94,8.16,50320,26.17,1.01,10.06,97.2,-53.3,8.69,32.27,32200,-0.3
04/30/19,12:32:10,4.94,8.16,50310,23.48,1.19,10.09,97.5,-53.2,8.81,32.26,32200,-0.3
04/30/19,12:32:15,5.27,8.16,50120,18.50,1.10,10.06,97.9,-53.5,8.84,32.17,32070,-0.3
04/30/19,12:32:20,6.46,8.19,49800,14.04,1.13,9.86,98.6,-55.3,8.68,32.08,31870,-0.3
04/30/19,12:32:25,6.99,8.21,49470,9.35,1.80,9.88,99.9,-56.3,8.76,31.91,31660,-0.2
04/30/19,12:32:30,7.23,8.21,49480,4.83,1.98,9.90,100.7,-56.8,8.81,31.94,31670,-0.2
04/30/19,12:32:35,7.43,8.22,49390,0.35,1.12,10.02,102.3,-57.2,8.78,31.89,31610,-0.3
04/30/19,12:32:40,7.53,8.22,49420,0.14,0.55,10.14,103.8,-57.3,8.88,31.92,31630,-0.3
04/30/19,12:32:45,7.41,8.23,57.6,0.13,-1.35,12.61,104.5,-57.5,8.94,0.02,36.9,-0.3
04/30/19,12:32:50,7.42,8.22,43.7,0.14,-3.03,12.70,105.3,-57.1,8.94,0.02,28.0,-0.2
04/30/19,12:32:55,7.36,8.20,38.9,0.13,-2.64,12.70,105.1,-56.2,8.93,0.01,24.9,-0.3
04/30/19,12:33:00,7.32,8.12,36.6,0.13,-1.91,12.67,104.8,-51.8,8.79,0.01,23.4,-0.2
Eureka_Manta_2,V7.03,08162383
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
04/30/19,12:54:10,7.38,8.21,49260,0.53,0.68,9.48,96.6,-56.8,8.98,31.79,31520,-0.2
04/30/19,12:54:15,6.97,8.23,49400,6.24,1.82,9.67,97.7,-57.4,8.81,31.86,31620,-0.2
04/30/19,12:54:20,6.86,8.21,49420,12.92,1.44,9.77,98.5,-56.7,8.89,31.86,31630,-0.2
04/30/19,12:54:25,5.33,8.19,50180,19.15,1.03,10.17,99.1,-55.3,8.96,32.22,32110,-0.2
04/30/19,12:54:30,4.97,8.17,50240,25.77,1.21,10.23,98.8,-53.6,8.89,32.21,32150,-0.2
04/30/19,12:54:35,4.96,8.16,50160,26.49,1.20,10.23,98.7,-53.4,8.89,32.16,32100,-0.2
04/30/19,12:54:40,4.97,8.16,50170,26.43,1.19,10.22,98.7,-53.4,8.74,32.17,32110,-0.2
04/30/19,12:54:45,4.99,8.16,50180,22.01,1.06,10.25,99.1,-53.4,8.71,32.18,32120,-0.2
04/30/19,12:54:50,5.46,8.17,49920,17.36,1.06,10.15,99.1,-53.9,8.69,32.05,31950,-0.2
04/30/19,12:54:55,6.88,8.20,49470,12.01,1.33,9.87,99.5,-55.9,8.74,31.89,31660,-0.2
04/30/19,12:55:00,6.99,8.22,49350,6.60,1.74,9.96,100.6,-56.9,8.84,31.82,31580,-0.2
04/30/19,12:55:05,7.08,8.23,49200,1.04,1.21,10.01,101.3,-57.9,8.83,31.72,31480,-0.2
04/30/19,12:55:10,7.45,8.24,5200,0.14,0.15,12.16,102.7,-58.2,8.88,2.80,3328,-0.2
04/30/19,12:55:15,7.40,8.23,69.5,0.14,-0.04,12.48,103.4,-57.6,8.83,0.03,44.5,-0.2
04/30/19,12:55:20,7.27,8.17,46.2,0.13,-6.98,12.66,104.6,-54.6,8.89,0.02,29.6,-0.2
04/30/19,12:55:25,7.11,8.07,41.1,0.13,-7.53,12.76,105.0,-48.8,8.93,0.02,26.3,-0.2
04/30/19,12:55:30,7.02,8.03,38.4,0.13,-7.95,12.78,104.9,-46.7,8.89,0.01,24.5,-0.2
