20190822_SBNMS
Eureka_Manta_2,V7.04,02193610
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
Eureka_Manta_2,V7.04,02193610
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
08/22/19,09:00:30,24.04,5.89,0.05,309.1,8.45,100.2,24.72,69.2,8.64
08/22/19,09:00:35,24.04,5.88,0.05,310.6,8.45,100.2,25.20,69.6,8.59
08/22/19,09:00:40,24.04,5.88,0.05,307.7,8.45,100.1,25.39,69.3,8.64
08/22/19,09:00:45,24.03,5.89,0.05,307.9,8.45,100.1,25.18,69.0,8.46
Eureka_Manta_2,V7.04,02193610
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
08/22/19,09:33:40,19.91,8.38,0.59,50020,7.46,99.0,0.56,-71.1,8.53
08/22/19,09:33:45,19.66,8.43,3.66,50100,7.54,99.6,0.75,-73.9,8.53
08/22/19,09:33:50,18.06,8.44,8.40,50480,7.97,102.4,1.27,-74.7,8.44
08/22/19,09:33:55,11.35,8.41,13.62,52220,8.82,99.7,2.63,-74.2,8.49
08/22/19,09:34:00,8.79,8.28,18.67,51380,9.13,97.2,0.56,-63.5,8.39
08/22/19,09:34:05,7.77,8.25,24.06,51690,9.01,93.8,0.42,-61.5,8.44
08/22/19,09:34:10,6.80,8.19,29.37,51720,8.36,85.1,0.23,-58.1,8.53
08/22/19,09:34:15,6.81,8.18,31.27,51740,8.33,84.8,0.25,-57.5,8.34
08/22/19,09:34:20,6.80,8.18,31.27,51770,8.31,84.6,0.23,-57.3,8.41
08/22/19,09:34:25,6.80,8.18,30.94,51750,8.33,84.8,0.22,-57.5,8.49
08/22/19,09:34:30,6.80,8.19,28.69,51740,8.33,84.8,0.24,-57.7,8.33
08/22/19,09:34:35,7.05,8.20,22.83,51400,8.28,84.7,0.26,-58.5,8.36
08/22/19,09:34:40,8.43,8.25,16.73,50920,8.05,84.7,0.45,-61.3,8.51
