20190425_SBNMS,,,,,,,,,,,,,
Eureka_Manta_2,V7.03,8162383,,,,,,,,,,,
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
Eureka_Manta_2,V7.03,8162383,,,,,,,,,,,
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
Eureka_Manta_2,V7.03,8162383,,,,,,,,,,,
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
Eureka_Manta_2,V7.03,8162383,,,,,,,,,,,
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
Eureka_Manta_2,V7.03,8162383,,,,,,,,,,,
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
4/25/19,10:09:20,10.28,8.39,24.9,0.05,0.25,11.27,100,-67.4,8.49,0.01,15.9,-0.3
4/25/19,10:09:25,10.49,8.36,24.3,0.05,3.43,11.21,100,-65.9,8.34,0.01,15.5,-0.2
4/25/19,10:09:30,10.72,8.37,23.9,0.05,4.07,11.15,100,-66.3,8.34,0.01,15.3,-0.2
4/25/19,10:09:35,10.86,8.36,23.6,0.03,4.05,11.11,100,-66.2,8.46,0.01,15.1,-0.2
4/25/19,10:09:40,11.07,8.35,23.2,0.04,3.23,11.05,100,-65.7,8.46,0.01,14.8,-0.2
4/25/19,10:09:45,11.36,8.28,22.7,0.04,0.93,10.98,100,-61.4,8.36,0.01,14.5,-0.2
4/25/19,10:09:50,11.54,8.26,22.3,0.03,0.08,10.93,99.9,-60.5,8.46,0.01,14.3,-0.2
4/25/19,10:09:55,11.81,8.28,21.9,0.03,-0.39,10.86,99.9,-61.9,8.39,0.01,14,-0.2
4/25/19,10:10:00,11.58,8.17,23.9,0.01,-0.61,10.91,99.8,-55.1,7.96,0.01,15.3,-0.2
4/25/19,10:10:05,11.42,8.11,21.9,0.01,-0.7,10.94,99.8,-51.9,7.96,0.01,14,-0.3
4/25/19,10:10:10,11.28,8.08,21.3,0.01,-0.7,10.97,99.7,-50.1,8.16,0.01,13.6,-0.2
4/25/19,10:10:15,11.11,8.05,20.9,0.01,-1.16,11,99.6,-48.2,8.06,0.01,13.4,-0.2
4/25/19,10:10:20,10.98,8.01,20.5,0.02,-1.37,11.01,99.4,-46.2,8.04,0.01,13.1,-0.2
Eureka_Manta_2,V7.03,8162383,,,,,,,,,,,
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
Eureka_Manta_2,V7.03,8162383,,,,,,,,,,,
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
4/25/19,10:37:50,4.27,8.09,50710,28.15,1.2,10.4,99,-49.4,8.09,32.45,32450,-0.2
4/25/19,10:37:55,4.26,8.09,50680,27.2,1.59,10.41,99.1,-49.3,8.26,32.43,32440,-0.2
4/25/19,10:38:00,4.28,8.09,50700,23.62,0.78,10.41,99.1,-49.2,8.26,32.45,32450,-0.2
4/25/19,10:38:05,4.54,8.1,50600,19.55,0.72,10.33,98.9,-49.6,8.08,32.41,32380,-0.2
4/25/19,10:38:10,4.65,8.11,50470,14.87,0.7,10.32,99,-50.6,8.19,32.34,32300,-0.2
4/25/19,10:38:15,5.15,8.13,50280,10.88,0.54,10.22,99.2,-51.5,8.19,32.27,32180,-0.2
4/25/19,10:38:20,5.83,8.15,50020,6.76,0.54,10.11,99.6,-53,8.09,32.17,32010,-0.2
4/25/19,10:38:25,6.04,8.16,49980,2.62,0.51,10.14,100.5,-53.7,8.36,32.17,31990,-0.2
4/25/19,10:38:30,6.39,8.17,622.3,0.12,-4.72,12.49,101,-54,8.46,0.3,398.2,-0.2
4/25/19,10:38:35,6.63,8.16,56.2,0.11,-4.09,12.59,102.4,-53.6,7.93,0.02,35.9,-0.2
4/25/19,10:38:40,6.72,8.16,43.4,0.11,-4.56,12.68,103.3,-53.8,8.38,0.02,27.7,-0.2
4/25/19,10:38:45,6.84,8.16,38.4,0.1,-4.69,12.76,104.2,-53.7,8.21,0.01,24.6,-0.2
4/25/19,10:38:50,6.98,8.15,34.8,0.09,-4.73,12.64,103.6,-53.3,7.78,0.01,22.3,-0.2
Eureka_Manta_2,V7.03,8162383,,,,,,,,,,,
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
4/25/19,11:05:10,6.03,8.19,49930,9.39,0.75,9.35,92.6,-54.9,8.53,32.13,31950,-0.2
4/25/19,11:05:15,5.56,8.18,49990,16.06,1.02,9.59,93.9,-54.5,8.18,32.11,31990,-0.2
