20190518_SBNMS,,,,,,,,,,
Eureka_Manta_2,V7.04,2193610,,,,,,,,
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
Eureka_Manta_2,V7.04,2193610,,,,,,,,
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
5/18/19,15:41:20,17.19,6.76,0.08,0.1,9.77,101.1,11.38,19.5,0.95
5/18/19,15:41:25,17.18,6.7,0.07,0.1,9.77,101.1,12.05,23.1,0.88
5/18/19,15:41:30,17.17,6.65,0.08,0.1,9.77,101.1,12.77,26,0.86
5/18/19,15:41:35,17.17,6.61,0.08,0.1,9.77,101,12.99,28.1,0.81
5/18/19,15:41:40,17.16,6.59,0.08,0.1,9.77,101.1,13.41,29.3,0.86
